age,sex,x0_raw,tau,theta0_mode,theta0_source,theta0,theta0_obs,theta0_smooth,ell_oracle,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,age_bin_width,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_mean,PPCI_sigma2_A_std,PPCILO_theta_mean,PPCILO_theta_rmse,PPCILO_coverage,PPCILO_avg_ci_width,PPCILO_sigma2_Y_mean,PPCILO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width,scale_y
70,1,"[70.0, 1.0]",0.5,smooth,smooth,4.0,3.815,4.0,1.3541287163666167,1.1,1.2,1.3104471448709194,1.4414918593580115,1.5725365738451031,1.4414918593580115,0.010117948238625782,500,200,200,10000,7000,3000,1,4.092341118921096,0.3775190855598996,0.946,1.455920425673611,0.04683364745751975,0.009137193643439989,0.057534758917181766,0.0056778376980241,4.082838761013762,0.43043683377652675,0.964,1.6819284641625127,0.06883507276466329,0.006634083846286941,2.4684842289674633,1.5666668857324868,0.032,1.4559288119881595,10000.0
71,1,"[71.0, 1.0]",0.5,smooth,smooth,4.0,4.305,4.0,1.397810287862314,1.1,1.2,1.5943773595929518,1.7538150955522471,1.913252831511542,1.7538150955522471,0.010117948238625782,500,200,200,10000,7000,3000,1,3.8598628908806503,0.38683704609955505,0.898,1.3373450118622923,0.05042403673938165,0.010902273000988472,0.06646690337083706,0.0062976168026460414,3.8828332628885724,0.45485905678894556,0.894,1.6022405727727582,0.07878505955927678,0.007822436205930839,2.4776801077565125,1.5602144664855009,0.038,1.4425964867627332,10000.0
72,1,"[72.0, 1.0]",0.5,smooth,smooth,3.94,4.1,3.94,1.4414918593580113,1.1,1.2,1.3322879306187678,1.4655167236806448,1.5987455167425213,1.4655167236806448,0.010117948238625782,500,200,200,10000,7000,3000,1,4.112387660256724,0.3992822646844739,0.938,1.4699590147615473,0.04574295916763487,0.00979329164060875,0.05556371197658713,0.00554528709091701,4.108770369892419,0.4899485247383338,0.942,1.716415987381586,0.06620170441718727,0.006233419989112584,2.470960257134376,1.5045107641627278,0.074,1.4726778795749675,10000.0
73,1,"[73.0, 1.0]",0.5,smooth,smooth,3.9,4.06,3.9,1.4851734308537086,1.1,1.2,1.4851734308537086,1.6336907739390796,1.7822081170244501,1.6336907739390796,0.010117948238625782,500,200,200,10000,7000,3000,1,3.991325257729202,0.36135082275887204,0.95,1.3992523593949087,0.04706300917760898,0.008911824152205462,0.05904615066766417,0.005791783266596945,3.974656181410922,0.44972652926213935,0.94,1.6434524675927327,0.07021516936744183,0.006643516966577576,2.480417268693866,1.4610353694812088,0.11,1.4898779161718672,10000.0
74,1,"[74.0, 1.0]",0.5,smooth,smooth,3.85,4.2,3.85,1.5288550023494059,1.1,1.2,1.3759695021144651,1.5135664523259118,1.651163402537358,1.5135664523259118,0.010117948238625782,500,200,200,10000,7000,3000,1,4.069917739252559,0.41387643024965937,0.952,1.4459399910501884,0.043607040893889115,0.009440685216414594,0.053182345634860566,0.005591580941052696,4.09005557158226,0.500980571372325,0.92,1.6751500474507632,0.06336373033621354,0.006271395589798539,2.476170413601588,1.4092858642558337,0.096,1.4445296801846113,10000.0
75,1,"[75.0, 1.0]",0.5,smooth,smooth,3.8,3.8,3.8,1.5725365738451031,1.1,1.2,1.5506957880972545,1.70576536690698,1.8608349457167053,1.70576536690698,0.010117948238625782,500,200,200,10000,7000,3000,1,3.9607270959132483,0.3998466930796908,0.924,1.3610082818965266,0.04481597844612777,0.008620474941551343,0.05808177649359842,0.005715899363944942,3.949524855926082,0.4323466510090367,0.942,1.626937811669,0.06876812153252596,0.006442545736421971,2.5007600513980384,1.3431939692568697,0.13,1.4468326867269206,10000.0
76,1,"[76.0, 1.0]",0.5,smooth,smooth,3.8,3.82,3.8,1.6162181453408004,1.1,1.2,1.6598997168364977,1.8258896885201477,1.9918796602037971,1.8258896885201477,0.010117948238625782,500,200,200,10000,7000,3000,1,3.893194186879736,0.37261095044418974,0.932,1.3534451311187061,0.046828775436835765,0.009731283052756863,0.06039676507747027,0.00627110972162678,3.8941084030157005,0.45252570893050104,0.93,1.5911778069039861,0.0715497938346598,0.006695771383289149,2.5046194352168283,1.3390489187702583,0.128,1.4349019930388713,10000.0
77,1,"[77.0, 1.0]",0.5,smooth,smooth,3.79,3.9,3.79,1.6598997168364977,1.1,1.2,1.703581288332195,1.8739394171654147,2.044297545998634,1.8739394171654147,0.010117948238625782,500,200,200,10000,7000,3000,1,3.863227924260834,0.3588609170405578,0.936,1.3348489131059635,0.0459273736367948,0.009452519207161569,0.06058257534202917,0.0055079239271022635,3.857309892973546,0.44370178284841605,0.93,1.5922697007908173,0.07126224010180479,0.006565965320129077,2.49081855090858,1.3423664325481617,0.138,1.4567749593179768,10000.0
78,1,"[78.0, 1.0]",0.5,smooth,smooth,3.73,3.42,3.73,1.7035812883321952,1.1,1.2,1.6162181453408007,1.7778399598748809,1.9394617744089606,1.7778399598748809,0.00921034984663358,500,200,200,10000,7000,3000,1,3.93576072465587,0.42104744289522805,0.924,1.3767751939958244,0.04427639105681594,0.009225584784420085,0.05562685357935561,0.005289767022927303,3.944960592293986,0.4573690031185993,0.938,1.6218758155383513,0.06645355416528745,0.006241008532451457,2.5160725274879296,1.2602054518357355,0.16,1.4550781213484296,10000.0
79,1,"[79.0, 1.0]",0.5,smooth,smooth,3.7,3.24,3.7,1.7472628598278925,1.1,1.2,1.7472628598278925,1.921989145810682,2.096715431793471,1.921989145810682,0.00921034984663358,500,200,200,10000,7000,3000,1,3.858605244158413,0.37340542117567216,0.946,1.3351364787223052,0.04474720183339811,0.009780657619990024,0.05825624872086736,0.005793852807637525,3.84812006535454,0.44029035802867184,0.944,1.5914613719754913,0.06913122929995726,0.006605373394450244,2.4856569419488634,1.2536438723460528,0.172,1.4643274393429564,10000.0
