x0_1,x0_2,x0_3,theta0,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_std,LO_theta_mean,LO_theta_rmse,LO_coverage,LO_avg_ci_width,LO_sigma2_Y_mean,LO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width
0.7,0.7,0.7,-1.369943006365065,0.01,0.1,2.0694743066278827,0.020694743066278828,0.20694743066278828,0.2069474306627883,0.004248767179543223,500,200,200,7000,5000,2000,-1.1626353977920876,0.5930565333209412,0.936,2.086289296842081,0.0001628317859120416,0.0006024268034417868,0.00019263582669628988,0.0002399720787872225,-1.0906349843203471,0.8181971850913303,0.822,2.378363022872759,0.0003152098680365807,0.00034770301207778483,-0.0011085178101859076,1.3714470122704363,0.0,0.334750419829387
0.7,0.7,0.7166666666666667,-1.380779440140526,0.01,0.1,2.080077315825993,0.02080077315825993,0.20800773158259933,0.20800773158259933,0.004248767179543223,500,200,200,7000,5000,2000,-1.2027962217178796,0.616140731052704,0.94,2.0893448529503518,0.00016759522124510783,0.0006099483253943357,0.00019786983991255944,0.0002520082238783566,-1.163872759308788,0.7791964925360543,0.804,2.2591126613493095,0.00031236506862319425,0.0003500243894375156,-0.00022428859328409167,1.3828465320271084,0.0,0.3361679863350039
0.7,0.7,0.7333333333333333,-1.387329157994313,0.01,0.1,2.095776722120691,0.020957767221206913,0.20957767221206913,0.20957767221206913,0.004248767179543223,500,200,200,7000,5000,2000,-1.2038744968875008,0.5697592460297087,0.932,2.0319162263316017,0.0001582631153511168,0.0006278098680847648,0.00019113374031559682,0.00026577997884758773,-1.206738417209968,0.7465038766476674,0.832,2.2548878163304624,0.0003154418440818971,0.0003474446909434303,-0.005567563948096304,1.3846440355265397,0.0,0.3366543211917976
0.7,0.7,0.75,-1.3895203998470036,0.01,0.1,2.099322411393416,0.020993224113934162,0.2099322411393416,0.2099322411393416,0.004248767179543223,500,200,200,7000,5000,2000,-1.2327123350375375,0.59866755562489,0.928,2.0091244727266697,0.00015346636364392625,0.0006123932986408478,0.00017276034795275558,0.0002249624351935063,-1.1909008820743223,0.8067580855095312,0.834,2.299361509983505,0.00032650363180191245,0.0003851346920872435,-0.0036612610834871983,1.3885129857765721,0.0,0.3359304438748189
0.7,0.7,0.7666666666666666,-1.387329157994313,0.01,0.1,2.114930382983127,0.02114930382983127,0.21149303829831273,0.21149303829831273,0.004248767179543223,500,200,200,7000,5000,2000,-1.2044225012453498,0.5553054056006956,0.934,1.9873347699155623,0.00014954141816511424,0.0006159495077144271,0.00016072430655264994,0.0002273611825632813,-1.1532801497694385,0.7555160089680423,0.822,2.2517110377581457,0.00032375444181332637,0.00037175706844460275,-0.005873412131767008,1.3840313970553275,0.0,0.33650970061457225
0.7,0.7,0.7833333333333333,-1.380779440140526,0.01,0.1,2.1421778880846327,0.02142177888084633,0.2142177888084633,0.2142177888084633,0.004451075427225196,500,200,200,7000,5000,2000,-1.287480879260812,0.5742549737162123,0.936,1.999698938423049,0.00016067933547757817,0.0006005218175806138,0.00018897629653544923,0.0002206645566458152,-1.1869634748563047,0.7647073773368214,0.836,2.2260698131534236,0.00030980126182642606,0.00031410032877499756,-0.0018081319496591527,1.3818870790983133,0.0,0.33580832806174943
0.7,0.7,0.7999999999999999,-1.369943006365065,0.01,0.1,2.1742833006504565,0.021742833006504564,0.21742833006504567,0.2174283300650457,0.004451075427225196,500,200,200,7000,5000,2000,-1.2008732960081705,0.5546689715582361,0.946,2.001669577800877,0.00017951426059259628,0.000627749430821298,0.0002127691149109781,0.0002159815453223785,-1.176561614864802,0.728836728021861,0.85,2.260403070330123,0.00033368991425575343,0.00038071295085077297,-0.0032552981249703798,1.3696702119347286,0.0,0.3352273408919972
0.7,0.7,0.8166666666666667,-1.3549385829040441,0.01,0.1,2.201351024300732,0.02201351024300732,0.2201351024300732,0.22013510243007317,0.004451075427225196,500,200,200,7000,5000,2000,-1.1698503979183736,0.591204306173007,0.918,2.0007230081441048,0.00019034625650877127,0.0006596264923134466,0.0002122856061170715,0.00021946156476104707,-1.1686055580101495,0.7154697065334332,0.844,2.217373925550579,0.0003821761230650992,0.0004264027009560461,-0.0019527558706406599,1.3558295628094974,0.0,0.33641727626489965
0.7,0.7,0.8333333333333333,-1.3359305613607793,0.01,0.1,2.217171031867226,0.022171710318672263,0.22171710318672264,0.2217171031867226,0.004451075427225196,500,200,200,7000,5000,2000,-1.1244807285635192,0.5751897105892277,0.898,1.9214601331790757,0.00017384332691310815,0.0006303841025387588,0.00019438137867172097,0.0002035458987663233,-1.1839470313768883,0.7265550328978586,0.854,2.2578266960860693,0.0003634437975739487,0.00040564346565035586,-0.0012552370583458665,1.3374545019615525,0.0,0.3363601114144899
0.7,0.7,0.85,-1.3131271975969827,0.01,0.1,2.243393720653697,0.02243393720653697,0.2243393720653697,0.2243393720653697,0.004451075427225196,500,200,200,7000,5000,2000,-1.1187536005689545,0.5325174837278552,0.934,1.8901050135068724,0.00017125464514142324,0.0006683110670455029,0.00019524814621775437,0.00024111517654343276,-1.1599970081637494,0.7248244696607017,0.848,2.286582407813631,0.0003511612620194404,0.00033866244399512733,-0.0007676035226257121,1.3153662630964873,0.0,0.3352199580386431
