sex,age,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,bias_score_mean_mean,bias_budget_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
1,70,GH_P1_c22,50,0.0,1.0,398.1071705534972,1.4000000000000004,4423.92,21.246382803379703,21.57275917059151,21.57275917059151,22.0,0.3821157885682917,0.7321382000421006,20.535295955299453,0.45122004593060594,1.1566737458671867,0.03147322279553786,0.02371197239639357
1,71,GH_P1_c22,50,0.0,1.0,396.4695824627641,1.4000000000000004,4438.93,22.40954303238682,21.6711852574393,21.6711852574393,22.0,0.3821157885682917,0.7460782462710935,20.297270759995378,0.45078554298800716,1.1560311136286723,0.031341744339975545,0.02385118507014172
1,72,GH_P1_c22,50,0.0,1.0,380.9124956007988,1.4000000000000004,4459.18,23.4449865460042,21.09015609144444,21.09015609144444,22.0,0.3821157885682917,0.7594782541551252,19.821902416688957,0.4596391888762591,1.158155322798057,0.031943783768603164,0.02464172229016985
1,73,GH_P1_c22,50,0.0,1.0,329.32847074270353,1.4000000000000004,4474.7,23.50473662874143,18.821841150326126,18.821841150326126,22.0,0.3821157885682917,0.7716923337801072,19.082059829690287,0.490443071826782,1.171654765556043,0.034508174824142444,0.027199030335094715
1,74,GH_P1_c22,50,0.0,1.0,317.0465600622046,1.4000000000000004,4492.59,24.548484435450703,18.42885513285799,18.42885513285799,22.0,0.3821157885682917,0.783668222267287,18.61924114489367,0.4965532447940752,1.1731417403905,0.034886161415207145,0.027880221655015813
1,75,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4507.67,25.901790881570324,18.564111291586805,18.564111291586805,22.0,0.3821157885682917,0.7936859083904411,18.293619887314097,0.4955418622534749,1.1717118790363137,0.03467820377180219,0.02801250583757122
1,76,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4521.85,27.30019318660746,18.777902388668917,18.777902388668917,22.0,0.3821157885682917,0.8043044701056532,17.810187158234157,0.49355496504530805,1.1701469505682949,0.034426135110931205,0.028135372196977086
1,77,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4535.38,28.77262142232935,18.951744307298654,18.951744307298654,22.0,0.3821157885682917,0.8130756144240548,17.500970445358778,0.4920675130670428,1.1684848353480501,0.034194166070277726,0.02822953276050343
1,78,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4,4552.53,30.37242138747306,19.166317847396755,19.166317847396755,22.0,0.3821157885682917,0.8227082114727396,17.01603358591635,0.4904346676520056,1.1659615185407763,0.03392789319298083,0.0283443710603435
1,79,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4,4566.52,31.97035874085056,19.36731825213671,19.36731825213671,22.0,0.3821157885682917,0.8312030370237106,16.507436548157685,0.48883678234248584,1.1638107221959515,0.03369621247542548,0.02845288668881165
1,80,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4581.3,33.69746192509759,19.567300188358164,19.567300188358164,22.0,0.3821157885682917,0.8392842299462351,15.92871965359846,0.48737234467111806,1.1613468163521923,0.0334598628527744,0.028557572252486892
1,81,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4594.74,35.38267566895022,19.761017982664665,19.761017982664665,22.0,0.3821157885682917,0.8465658700805614,15.360653060363568,0.48596547874877677,1.1589870512296159,0.03324464716380773,0.028659933077243745
1,82,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4605.1,36.935487018995,19.944560424378167,19.944560424378167,22.0,0.3821157885682917,0.8526833062220447,14.749158433910182,0.4845102453226196,1.1572125253111731,0.03306804377073116,0.028763642987536985
1,83,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4615.82,38.61981893432706,20.1363140002305,20.1363140002305,22.0,0.3821157885682917,0.8589217969792236,14.04647446832767,0.4830570977579913,1.1551443745599712,0.032884925907676915,0.028867654455078152
1,84,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4628.52,40.444849050994506,20.32239375155615,20.32239375155615,22.0,0.3821157885682917,0.8650263008651946,13.335264881311709,0.4818621171527155,1.15250004112645,0.03268632453431489,0.02896114183119412
1,85,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4640.16,42.33623227958998,20.489654273448153,20.489654273448153,22.0,0.3821157885682917,0.8704284303119907,12.573359090762143,0.4808275390725087,1.1500221689680148,0.03250207237990286,0.029043190752060487
1,86,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4649.88,44.20531232609065,20.683722349370225,20.683722349370225,22.0,0.3821157885682917,0.8757654851712473,11.817110284129985,0.47940844934925475,1.1479065467141611,0.032335347562751346,0.029148521816589848
1,87,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4659.98,46.102779811885064,20.886045910953666,20.886045910953666,22.0,0.3821157885682917,0.8810027769232545,11.083148166222031,0.47794644904411754,1.1457244394495665,0.032164969675949326,0.02925982289565484
1,88,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4669.56,48.062408648823286,21.070850966031706,21.070850966031706,22.0,0.3821157885682917,0.8857893794210138,10.317812702185801,0.4766867970912058,1.143488342362414,0.03200228934318596,0.02935670765341674
1,89,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4679.43,50.11969653596933,21.248510036859187,21.248510036859187,22.0,0.3821157885682917,0.890192480362023,9.743728118160139,0.4755578942311888,1.1411499998103094,0.03184297313477504,0.029448578048114352
1,90,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4689.68,52.23966938385909,21.396663628741322,21.396663628741322,22.0,0.3821157885682917,0.8941799984382763,9.160938466876365,0.4748404355220393,1.1384642287318316,0.03168619811054952,0.02951373370364265
1,91,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4695.61,54.03949013098837,21.550776174459592,21.550776174459592,22.0,0.3821157885682917,0.8973340343562516,8.807306624039017,0.4736887489058986,1.1370423707888195,0.03158015854566805,0.029601283656891356
1,92,GH_P1_c22,50,0.0,1.0,316.227766016838,1.4000000000000004,4706.37,56.34425709067821,21.6942360553054,21.6942360553054,22.0,0.3821157885682917,0.9012399563695586,8.224199946349893,0.4731341357551212,1.1340102203676024,0.03141608329676709,0.029657110822923154
1,93,GH_P1_c22,50,0.0,1.0,304.5207239009796,1.4000000000000004,4713.26,57.650469980559556,21.292758805626814,21.292758805626814,22.0,0.3821157885682917,0.9047955896720973,7.743248389124323,0.4796212481834254,1.1376193943873094,0.03195714165870687,0.03072643610257887
1,94,GH_P1_c22,50,0.0,1.0,255.09099052291094,1.4000000000000004,4727.32,57.49103391805387,19.147664848424892,19.147664848424892,22.0,0.3821157885682917,0.9115249827757492,6.062906487034822,0.5104827828159693,1.1556055574232078,0.034456415463579554,0.03498658659540273
1,95,GH_P1_c22,50,0.0,1.0,253.79020806559336,1.4000000000000004,4729.88,58.72512435722979,19.100165014075987,19.100165014075987,22.0,0.3821157885682917,0.9116140795190999,6.730095615913784,0.5113221714962551,1.1558643132272808,0.03450234662729798,0.035113827396392724
1,96,GH_P1_c22,50,0.0,1.0,251.18864315095817,1.4000000000000004,4736.95,60.76055353020369,19.134958707591068,19.134958707591068,22.0,0.3821157885682917,0.9147156674995844,6.390703776464347,0.5118126959640888,1.1548053312707816,0.03449277931656949,0.03545353827727296
1,97,GH_P1_c22,50,0.0,1.0,251.18864315095817,1.4000000000000004,4744.11,63.06402013706518,19.291559798700238,19.291559798700238,22.0,0.3821157885682917,0.9177687102910502,6.038961462793268,0.5107518355232709,1.1522070683443022,0.034337861033781586,0.0355627880514669
1,98,GH_P1_c22,50,0.0,1.0,251.18864315095817,1.4000000000000004,4750.2,65.1961018910854,19.430520785942427,19.430520785942427,22.0,0.3821157885682917,0.9202736406303584,5.797948155055597,0.5097449637031288,1.150194220747897,0.03420630223107659,0.03566739958508481
1,99,GH_P1_c22,50,0.0,1.0,251.18864315095817,1.4000000000000004,4757.96,67.73149107937857,19.574279729298027,19.574279729298027,22.0,0.3821157885682917,0.9231095788882357,5.529505075891356,0.5089542859300564,1.147289163120509,0.034045729506403576,0.03575828664400635
1,100,GH_P1_c22,50,0.0,1.0,251.18864315095817,1.4000000000000004,4762.85,69.92831785893488,19.715526981244803,19.715526981244803,22.0,0.3821157885682917,0.9253795571950654,5.300251274589329,0.5078350433002012,1.1455744964189885,0.033930173766400396,0.03586870217189215
