n_unlab,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,bias,rmse,emp_sd,se_mean,width,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,h_mean,lambda_mean,fallback_rate,tuning_seconds_mean,estimation_seconds_mean,amortized_procedure_seconds_mean
500,1000,50,0.941,0.006339059352095369,0.03307340178251343,0.6201175692056087,0.6195448212337206,0.6287531502576198,2.4647123490098695,30.63357068209078,23.831150192938413,3.9902915272002883,1.9199361119503837,0.7240987790749059,0.0,0.145381103977561,0.0010476241055875528,0.008316679304465604
1500,1000,50,0.934,0.007345691504104249,0.02036609665374713,0.5939078011225727,0.5938555065872871,0.6022942145550108,2.3609933210556417,28.83349940981104,22.406413854668166,3.7332414705154435,1.9165726309452153,0.7552957058399388,0.0,0.23092493917793036,0.0010748020401223982,0.012621048999018919
2500,1000,50,0.931,0.0076784883716438206,-0.0024415732166574397,0.5906136620838831,0.5909041413500397,0.5978169656493739,2.3434425053455463,28.813182783025393,22.373379943581632,3.6909859027024576,1.925134218958372,0.7568555521781904,0.0,0.38505392147228124,0.0011142084607853977,0.02036690453439946
3500,1000,50,0.932,0.00739000980364432,-0.004263501405133578,0.5913530585760971,0.5916335797905736,0.5958607980456566,2.3357743283389736,28.717941334523168,22.29940712435691,3.6761980383158805,1.9239111349564926,0.7584153985164421,0.0,0.6778686593845487,0.0012490932764484982,0.03514252624567594
4500,1000,50,0.929,0.007571428571428569,0.0009471940925971723,0.5891614351211204,0.5894554751756435,0.5952211604812091,2.33326694908634,28.7126993287781,22.3002661581155,3.6775044682969282,1.9187130279485045,0.7584153985164421,0.0,1.12129847984761,0.0014642269629984602,0.057529150955378965
5500,1000,50,0.931,0.007544426243720509,-0.002778219227223638,0.5896238623955341,0.5899123470324507,0.5942382621692887,2.3294139877036115,28.710284322551924,22.29562031027572,3.6833313969267087,1.920853424951794,0.7584153985164421,0.0,1.7310726344399154,0.0016532395118846988,0.08820687123388049
6500,1000,50,0.928,0.007714285714285713,-0.002605567895625267,0.5892560108133594,0.5895450964229383,0.5939985486087634,2.3284743105463526,28.721404102903804,22.3037665167724,3.6843692064493685,1.920853424951794,0.7584153985164421,0.0,2.5973653413541613,0.001823040651157449,0.13169130771886556
7500,1000,50,0.929,0.00743543638838463,0.0035588312995198895,0.5906794316709264,0.5909642666721512,0.5937718173817927,2.327585524136628,28.7152894429573,22.302102834216292,3.676574921070327,1.9193245699494443,0.7584153985164421,0.0,3.7478056094795464,0.001973275989294003,0.18936355646327133
8500,1000,50,0.928,0.007845445838711988,0.005002883499291442,0.5907843175792065,0.5910587377627597,0.5934238675023543,2.3262215606092296,28.734612382031134,22.313997573201444,3.6835548188530263,1.922993821955083,0.7584153985164421,0.0,5.143157231975347,0.00210827240627254,0.2592661340050399
9500,1000,50,0.929,0.007296910165212647,0.008413757137370609,0.5911068574428897,0.5913427194264427,0.5935353171923714,2.326658443394096,28.7292310649661,22.313412378836883,3.684044104234247,1.9196303409499142,0.7584153985164421,0.0,6.676257191170007,0.002282557060010682,0.33609541661851106
10500,1000,50,0.93,0.007284313590846834,0.006499994093791816,0.5910835724446809,0.5913435777258975,0.5932910823127505,2.3257010426659823,28.725148631916635,22.31035516371903,3.6841813009336972,1.9193245699494446,0.7584153985164421,0.0,8.535713799279183,0.0024170437641441323,0.42920273372810336
