setting,method,repetitions,coverage,bias,absolute_bias,rmse,empirical_sd,mean_estimated_se,sd_over_mean_se,mean_width,median_width,fallback_rate,selected_h_mean,selected_h_median,selected_h_q10,selected_h_q90,selected_lambda_mean,selected_lambda_median,selected_lambda_q10,selected_lambda_q90,negative_weight_fraction,D_hat,Q_hat,effective_sample_size
b=0,RKHS_LOCALIZATION_LO_GH_P1,500,0.956,-7.7699094756003e-05,0.13144019856582004,0.16815741415614474,0.16832580625868732,0.1725827412103307,0.9753339475211176,0.6765119142508895,0.6680333648306624,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=0,RKHS_LOCALIZATION_LO_GH_P1_c0.12,500,0.962,-0.003137358856546403,0.1408925088622218,0.18023466651716713,0.1803878364442397,0.18475519853117345,0.9763613575062849,0.7242270701552949,0.7111102889940416,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=0,RKHS_LOCALIZATION_LO_GH_P1_c0.25,500,0.954,0.0037106667681431438,0.12496442853625711,0.15949160216315628,0.15960811889104573,0.16319450835966348,0.9780238348418335,0.6397107177193224,0.6293610611069315,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
b=0,RKHS_LOCALIZATION_PPCI_GH_P1,500,0.97,-0.00045119880460937,0.13134296046821814,0.16742932249927728,0.16759639481598745,0.17368342042885848,0.9649533294666758,0.6808264975045818,0.6801704507343639,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=0,RKHS_LOCALIZATION_PPCI_GH_P1_c0.12,500,0.972,-0.0037887344069846415,0.1405691085794811,0.17952512986937494,0.17966490113432976,0.18662825201598549,0.9626886561577007,0.7315693048979925,0.7287628412594847,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=0,RKHS_LOCALIZATION_PPCI_GH_P1_c0.25,500,0.966,0.0039071664524216185,0.12458271239942667,0.15830971642988897,0.1584199929135663,0.16371055979082563,0.9676834109905974,0.6417336021578187,0.6397975902080756,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
b=2,RKHS_LOCALIZATION_LO_GH_P1,500,0.95,0.0011148387105369805,0.13534901780562017,0.17358725625673113,0.17375752076221734,0.17556838147998705,0.9896857241463144,0.6882154090495274,0.675602721180904,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=2,RKHS_LOCALIZATION_LO_GH_P1_c0.12,500,0.964,-0.0018102599749095785,0.1441793320723895,0.1842123377357635,0.18438792299168788,0.18727031216528872,0.9846084030070031,0.7340861344350782,0.7232363281626348,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=2,RKHS_LOCALIZATION_LO_GH_P1_c0.25,500,0.948,0.0046328283046423,0.12975303638540583,0.16581401102521967,0.16591527630690117,0.16660061141802443,0.9958863589677732,0.6530623963633609,0.6438467556242244,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
b=2,RKHS_LOCALIZATION_PPCI_GH_P1,500,0.97,-0.00046225255825126067,0.1313009068838506,0.16739340403945324,0.16756041006314434,0.17380515983700678,0.9640704005581956,0.6813037072155216,0.6806713379948583,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
