setting,replicate,b,h,estimate,error,analytic_uniform_bias,note
b=0,0,0.0,0.3,0.26267582219693825,0.26267582219693825,0.12,Uniform NW fixed-bandwidth sanity check
b=2,0,2.0,0.3,0.26131594739287256,0.26131594739287256,0.12,Uniform NW fixed-bandwidth sanity check
b=0,1,0.0,0.3,0.044888669212932095,0.044888669212932095,0.12,Uniform NW fixed-bandwidth sanity check
b=2,1,2.0,0.3,0.024996666821051658,0.024996666821051658,0.12,Uniform NW fixed-bandwidth sanity check
b=0,2,0.0,0.3,-0.10613018329128827,-0.10613018329128827,0.12,Uniform NW fixed-bandwidth sanity check
b=2,2,2.0,0.3,-0.10317742513292467,-0.10317742513292467,0.12,Uniform NW fixed-bandwidth sanity check
b=0,3,0.0,0.3,0.13056822660676903,0.13056822660676903,0.12,Uniform NW fixed-bandwidth sanity check
b=2,3,2.0,0.3,0.12398689834047416,0.12398689834047416,0.12,Uniform NW fixed-bandwidth sanity check
b=0,4,0.0,0.3,0.15504245668330574,0.15504245668330574,0.12,Uniform NW fixed-bandwidth sanity check
b=2,4,2.0,0.3,0.1561236239484008,0.1561236239484008,0.12,Uniform NW fixed-bandwidth sanity check
b=0,5,0.0,0.3,0.15516257308416873,0.15516257308416873,0.12,Uniform NW fixed-bandwidth sanity check
b=2,5,2.0,0.3,0.16246449193214266,0.16246449193214266,0.12,Uniform NW fixed-bandwidth sanity check
b=0,6,0.0,0.3,0.06770349194339818,0.06770349194339818,0.12,Uniform NW fixed-bandwidth sanity check
b=2,6,2.0,0.3,0.06875537897589966,0.06875537897589966,0.12,Uniform NW fixed-bandwidth sanity check
b=0,7,0.0,0.3,0.09690889227840754,0.09690889227840754,0.12,Uniform NW fixed-bandwidth sanity check
b=2,7,2.0,0.3,0.08975271024535549,0.08975271024535549,0.12,Uniform NW fixed-bandwidth sanity check
b=0,8,0.0,0.3,0.03670776374995388,0.03670776374995388,0.12,Uniform NW fixed-bandwidth sanity check
b=2,8,2.0,0.3,0.037489162287155445,0.037489162287155445,0.12,Uniform NW fixed-bandwidth sanity check
b=0,9,0.0,0.3,0.31660279431858074,0.31660279431858074,0.12,Uniform NW fixed-bandwidth sanity check
