setting,method,selected_h,selected_lambda,fallback_indicator,operator_stability_pass,local_leverage_pass,bias_screen_pass,negative_weight_fraction,mean_absolute_weight,effective_sample_size,D_hat,Q_hat,nw_denominator,nw_local_labeled_ess,nw_local_unlabeled_ess,nw_cv_objective
b=0,NW_LO_CV,0.08252648478842896,,,,,,0.0,1.0029790788277162,778.8761260221465,,,0.09834413449809061,30.486016100718338,749.8424408734543,1.0491296012949423
b=0,NW_LO_US,0.06443659793820113,,,,,,0.0,1.0037862521576586,607.6482328553514,,,0.07676508367554553,23.90627318551159,585.2176405961025,1.0491296012949423
b=0,NW_PPCI_CV,0.08252648478842896,,,,,,0.0,1.0029790788277162,778.8761260221465,,,0.09834413449809061,30.486016100718338,749.8424408734543,1.0491296012949423
b=0,NW_PPCI_US,0.06443659793820113,,,,,,0.0,1.0037862521576586,607.6482328553514,,,0.07676508367554553,23.90627318551159,585.2176405961025,1.0491296012949423
b=0,ORACLE_WSTAR_LO,,,,,,,0.2254953846153846,1.3237510525106782,2310.2046376814474,,,,,,
b=0,ORACLE_WSTAR_PPCI,,,,,,,0.2254953846153846,1.3237510525106782,2310.2046376814474,,,,,,
b=0,RKHS_LOCALIZATION_LO_GH_P1,0.6002032674499149,0.0006608643500538176,0.0,1.0,1.0,1.0,0.418505,1.2334003690646442,842.0718811983538,7.582901749769293,6.172513830653379,,,,
b=0,RKHS_LOCALIZATION_LO_GH_P1_c0.12,0.6002032674499149,0.000304354782198425,0.0,1.0,1.0,1.0,0.4684907692307692,1.2449852074976213,726.7737486361632,8.746929030754572,7.160622532239002,,,,
b=0,RKHS_LOCALIZATION_LO_GH_P1_c0.25,0.6002032674499149,0.001220290148207609,0.0,1.0,1.0,1.0,0.3960219230769231,1.2190834851111356,949.8018109668515,6.755270720898505,5.465095845502551,,,,
b=0,RKHS_LOCALIZATION_PPCI_GH_P1,0.6002032674499149,0.0006608643500538176,0.0,1.0,1.0,1.0,0.418505,1.2334003690646442,842.0718811983538,7.582901749769293,6.172513830653379,,,,
b=0,RKHS_LOCALIZATION_PPCI_GH_P1_c0.12,0.6002032674499149,0.000304354782198425,0.0,1.0,1.0,1.0,0.4684907692307692,1.2449852074976213,726.7737486361632,8.746929030754572,7.160622532239002,,,,
b=0,RKHS_LOCALIZATION_PPCI_GH_P1_c0.25,0.6002032674499149,0.001220290148207609,0.0,1.0,1.0,1.0,0.3960219230769231,1.2190834851111356,949.8018109668515,6.755270720898505,5.465095845502551,,,,
b=2,NW_LO_CV,0.0809511742257722,,,,,,0.0,1.0030342212938244,763.8510372019834,,,0.09645582569394939,29.90308589486344,735.4060732088806,1.0504339303651746
b=2,NW_LO_US,0.06334211819788206,,,,,,0.0,1.003847186176868,597.1886077945352,,,0.07545450693422161,23.498833019477633,575.1694526994545,1.0504339303651746
b=2,NW_PPCI_CV,0.0809511742257722,,,,,,0.0,1.0030342212938244,763.8510372019834,,,0.09645582569394939,29.90308589486344,735.4060732088806,1.0504339303651746
b=2,NW_PPCI_US,0.06334211819788206,,,,,,0.0,1.003847186176868,597.1886077945352,,,0.07545450693422161,23.498833019477633,575.1694526994545,1.0504339303651746
b=2,ORACLE_WSTAR_LO,,,,,,,0.2254953846153846,1.3237510525106782,2310.2046376814474,,,,,,
b=2,ORACLE_WSTAR_PPCI,,,,,,,0.2254953846153846,1.3237510525106782,2310.2046376814474,,,,,,
b=2,RKHS_LOCALIZATION_LO_GH_P1,0.6002032674499149,0.0006608643500538176,0.0,1.0,1.0,1.0,0.418505,1.2334003690646442,842.0718811983538,7.582901749769293,6.172513830653379,,,,
b=2,RKHS_LOCALIZATION_LO_GH_P1_c0.12,0.6002032674499149,0.000304354782198425,0.0,1.0,1.0,1.0,0.4684907692307692,1.2449852074976213,726.7737486361632,8.746929030754572,7.160622532239002,,,,
b=2,RKHS_LOCALIZATION_LO_GH_P1_c0.25,0.6002032674499149,0.001220290148207609,0.0,1.0,1.0,1.0,0.3960219230769231,1.2190834851111356,949.8018109668515,6.755270720898505,5.465095845502551,,,,
b=2,RKHS_LOCALIZATION_PPCI_GH_P1,0.6002032674499149,0.0006608643500538176,0.0,1.0,1.0,1.0,0.418505,1.2334003690646442,842.0718811983538,7.582901749769293,6.172513830653379,,,,
b=2,RKHS_LOCALIZATION_PPCI_GH_P1_c0.12,0.6002032674499149,0.000304354782198425,0.0,1.0,1.0,1.0,0.4684907692307692,1.2449852074976213,726.7737486361632,8.746929030754572,7.160622532239002,,,,
b=2,RKHS_LOCALIZATION_PPCI_GH_P1_c0.25,0.6002032674499149,0.001220290148207609,0.0,1.0,1.0,1.0,0.3960219230769231,1.2190834851111356,949.8018109668515,6.755270720898505,5.465095845502551,,,,
