setting,method,repetitions,coverage,bias,absolute_bias,rmse,empirical_sd,mean_estimated_se,sd_over_mean_se,mean_width,median_width,fallback_rate,selected_h_mean,selected_h_median,selected_h_q10,selected_h_q90,selected_lambda_mean,selected_lambda_median,selected_lambda_q10,selected_lambda_q90,negative_weight_fraction,D_hat,Q_hat,effective_sample_size
b=0,NW_LO_CV,500,0.954,0.029400774679057717,0.1433900814929978,0.18179234245421846,0.17957880531370876,0.17716163843859403,1.013643850307653,0.6944608615635023,0.6695504398543659,,0.08252648478842896,0.08155709834827748,0.058857334695445865,0.10416160106505838,,,,,0.0,,,778.8761260221465
b=0,NW_LO_US,500,0.942,0.01359662982062163,0.16039514203744915,0.20281440832660538,0.20256079985443218,0.19710019466417314,1.0277047173878393,0.7726185657752263,0.7466541244109552,,0.06443659793820114,0.06257635554756599,0.05,0.0799201236269643,,,,,0.0,,,607.6482328553514
b=0,NW_PPCI_CV,500,0.964,0.03015454687242152,0.14314183337547842,0.18179175175782092,0.17945292143657168,0.18137490130460085,0.9894032754576038,0.7109765485130491,0.6906686318814061,,0.08252648478842896,0.08155709834827748,0.058857334695445865,0.10416160106505838,,,,,0.0,,,778.8761260221465
b=0,NW_PPCI_US,500,0.97,0.014466033166210346,0.15968551143573126,0.20274740173715888,0.20243320181728836,0.20301309189249936,0.997143582860567,0.7957966969988383,0.7725845245061929,,0.06443659793820114,0.06257635554756599,0.05,0.0799201236269643,,,,,0.0,,,607.6482328553514
b=0,ORACLE_WSTAR_LO,500,0.952,-0.009694045848947761,0.11675176438934291,0.14869527801263946,0.14852754640947746,0.1582670472304904,0.9384616002418437,0.6203954250225218,0.620887524978357,,,,,,,,,,0.22549538461538463,,,2310.204637681448
b=0,ORACLE_WSTAR_PPCI,500,0.946,-0.0046626812750441265,0.08353514989136485,0.1056710909442002,0.10567389843421769,0.10844634975864091,0.9744348119545415,0.42510187956354034,0.4245448158023992,,,,,,,,,,0.22549538461538463,,,2310.204637681448
b=0,RKHS_LOCALIZATION_LO_GH_P1,500,0.956,-7.7699094756003e-05,0.13144019856582004,0.16815741415614474,0.16832580625868732,0.1725827412103307,0.9753339475211176,0.6765119142508895,0.6680333648306624,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=0,RKHS_LOCALIZATION_LO_GH_P1_c0.12,500,0.962,-0.003137358856546403,0.1408925088622218,0.18023466651716713,0.1803878364442397,0.18475519853117345,0.9763613575062849,0.7242270701552949,0.7111102889940416,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=0,RKHS_LOCALIZATION_LO_GH_P1_c0.25,500,0.954,0.0037106667681431438,0.12496442853625711,0.15949160216315628,0.15960811889104573,0.16319450835966348,0.9780238348418335,0.6397107177193224,0.6293610611069315,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
b=0,RKHS_LOCALIZATION_PPCI_GH_P1,500,0.97,-0.00045119880460937,0.13134296046821814,0.16742932249927728,0.16759639481598745,0.17368342042885848,0.9649533294666758,0.6808264975045818,0.6801704507343639,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=0,RKHS_LOCALIZATION_PPCI_GH_P1_c0.12,500,0.972,-0.0037887344069846415,0.1405691085794811,0.17952512986937494,0.17966490113432976,0.18662825201598549,0.9626886561577007,0.7315693048979925,0.7287628412594847,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=0,RKHS_LOCALIZATION_PPCI_GH_P1_c0.25,500,0.966,0.0039071664524216185,0.12458271239942667,0.15830971642988897,0.1584199929135663,0.16371055979082563,0.9676834109905974,0.6417336021578187,0.6397975902080756,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
b=2,NW_LO_CV,500,0.938,0.028912675484889058,0.14745280004271322,0.18612460159263702,0.18404937614684663,0.1797605051363571,1.0238588059553806,0.7046482318199747,0.680305364452449,,0.08095117422577221,0.08155709834827748,0.058857334695445865,0.10416160106505838,,,,,0.0,,,763.8510372019834
b=2,NW_LO_US,500,0.94,0.013128540279043885,0.1632394833636986,0.20623425004691373,0.20602208017003817,0.1993538934965249,1.0334489914220286,0.7814529028620449,0.755935125745911,,0.06334211819788207,0.06257635554756599,0.05,0.0799201236269643,,,,,0.0,,,597.1886077945353
b=2,NW_PPCI_CV,500,0.96,0.028810198521296692,0.14440982858083323,0.18334840145599673,0.18125207144869182,0.18294921552920615,0.9907234142786286,0.7171477468742,0.6968285297444249,,0.08095117422577221,0.08155709834827748,0.058857334695445865,0.10416160106505838,,,,,0.0,,,763.8510372019834
b=2,NW_PPCI_US,500,0.97,0.013472202846609443,0.16106014175312264,0.20439649727818765,0.20415628186490314,0.20443518455081353,0.9986357402884284,0.8013711977847877,0.7792407539572852,,0.06334211819788207,0.06257635554756599,0.05,0.0799201236269643,,,,,0.0,,,597.1886077945353
b=2,ORACLE_WSTAR_LO,500,0.956,-0.009001968145588485,0.13442367558522056,0.16966806966856765,0.1695987792598065,0.17772895161160882,0.9542552168452038,0.6966846883376305,0.6915356827019737,,,,,,,,,,0.22549538461538463,,,2310.204637681448
b=2,ORACLE_WSTAR_PPCI,500,0.948,-0.004644911271843802,0.08534442741132515,0.10702758444097125,0.10703383162706769,0.10962863790286506,0.976330944856795,0.4297363639275964,0.42877505508776537,,,,,,,,,,0.22549538461538463,,,2310.204637681448
b=2,RKHS_LOCALIZATION_LO_GH_P1,500,0.95,0.0011148387105369805,0.13534901780562017,0.17358725625673113,0.17375752076221734,0.17556838147998705,0.9896857241463144,0.6882154090495274,0.675602721180904,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=2,RKHS_LOCALIZATION_LO_GH_P1_c0.12,500,0.964,-0.0018102599749095785,0.1441793320723895,0.1842123377357635,0.18438792299168788,0.18727031216528872,0.9846084030070031,0.7340861344350782,0.7232363281626348,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=2,RKHS_LOCALIZATION_LO_GH_P1_c0.25,500,0.948,0.0046328283046423,0.12975303638540583,0.16581401102521967,0.16591527630690117,0.16660061141802443,0.9958863589677732,0.6530623963633609,0.6438467556242244,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
b=2,RKHS_LOCALIZATION_PPCI_GH_P1,500,0.97,-0.00046225255825126067,0.1313009068838506,0.16739340403945324,0.16756041006314434,0.17380515983700678,0.9640704005581956,0.6813037072155216,0.6806713379948583,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0006608643500538176,0.0006650687768562276,0.0006188104698668562,0.0006650687768562276,0.418505,7.582901749769293,6.172513830653379,842.0718811983538
b=2,RKHS_LOCALIZATION_PPCI_GH_P1_c0.12,500,0.972,-0.0038115342177012356,0.14053597775457133,0.17948860046115225,0.17962784368483678,0.1867295024657244,0.9619682016654483,0.731966199367806,0.7291423915403245,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.00030435478219842507,0.0003144916075608913,0.00029261740471994593,0.0003144916075608913,0.4684907692307692,8.746929030754572,7.160622532239002,726.7737486361632
b=2,RKHS_LOCALIZATION_PPCI_GH_P1_c0.25,500,0.966,0.0038995728187439503,0.12453191238278685,0.1582463538509615,0.15835673509533826,0.16385094798831984,0.9664682263945569,0.642283913779705,0.6402915317414677,0.0,0.600203267449915,0.6003082057873111,0.5895331816252958,0.610912529283141,0.0012202901482076091,0.0012108004076947876,0.0012108004076947876,0.001308624816706734,0.3960219230769231,6.755270720898505,5.465095845502552,949.8018109668515
