A,b,h,family,variance_lo,variance_ppci,relative_variance_reduction
2.0,0.0,0.08,NW,0.03094483883745327,0.030577785943169882,0.011861522246453982
2.0,0.0,0.08,RKHS_LOCALIZATION,0.7150020805553597,0.14511775007804087,0.7970387023694752
2.0,0.0,0.2,NW,0.012983337850355738,0.013069842960652703,-0.006662778962853055
2.0,0.0,0.2,RKHS_LOCALIZATION,0.07592542133541895,0.06779558505819572,0.10707660404422004
2.0,0.0,0.4,NW,0.007806213260328124,0.007550261136048103,0.03278825670582075
2.0,0.0,0.4,RKHS_LOCALIZATION,0.0399359650454418,0.038482717730082217,0.03638943778386183
2.0,0.0,0.6,NW,0.006784648521088529,0.0061885960626458,0.0878531078787701
2.0,0.0,0.6,RKHS_LOCALIZATION,0.028713490054860753,0.02810627552617372,0.021147360614361843
2.0,2.0,0.08,NW,0.031874510994912134,0.030550428962392694,0.04154046575744463
2.0,2.0,0.08,RKHS_LOCALIZATION,0.7540239719763292,0.14511034229414688,0.8075520836375978
2.0,2.0,0.2,NW,0.01414109761190473,0.013040736328855195,0.07781300385927548
2.0,2.0,0.2,RKHS_LOCALIZATION,0.07717431819635405,0.06781661513567391,0.12125410731678121
2.0,2.0,0.4,NW,0.01000157715170364,0.007619173139004878,0.23820283306947754
2.0,2.0,0.4,RKHS_LOCALIZATION,0.04153017005646831,0.0384980268176907,0.0730106145641789
2.0,2.0,0.6,NW,0.010256487334401728,0.006290092880826976,0.38672055297829855
2.0,2.0,0.6,RKHS_LOCALIZATION,0.030488064834389792,0.02812005477811058,0.07767006758684647
4.0,0.0,0.08,NW,0.030947625649299735,0.030573718814747644,0.012081923142964968
4.0,0.0,0.08,RKHS_LOCALIZATION,0.7137677297770866,0.14511720934641223,0.7966884698027282
4.0,0.0,0.2,NW,0.013189325895074173,0.013063963251882813,0.009504855986474547
4.0,0.0,0.2,RKHS_LOCALIZATION,0.07601707343463977,0.06779972581295214,0.10809871059760001
4.0,0.0,0.4,NW,0.00907262123045978,0.007622206281228963,0.1598672436981382
4.0,0.0,0.4,RKHS_LOCALIZATION,0.04001467361813486,0.038479678357870944,0.03836080920995566
4.0,0.0,0.6,NW,0.009194906311204882,0.0063470237530846635,0.3097239342884657
4.0,0.0,0.6,RKHS_LOCALIZATION,0.029068625432376427,0.028109212816948004,0.0330050905798881
4.0,2.0,0.08,NW,0.03188441982425434,0.030546075554312654,0.041974866637642716
4.0,2.0,0.08,RKHS_LOCALIZATION,0.7535344995526339,0.14510980404322843,0.8074277897967794
4.0,2.0,0.2,NW,0.01433018630806936,0.013034734447797482,0.0904002106059435
4.0,2.0,0.2,RKHS_LOCALIZATION,0.07726777056044666,0.06782075996187222,0.12226327393753444
4.0,2.0,0.4,NW,0.011247984996006367,0.007692844730622123,0.31606907963039677
4.0,2.0,0.4,RKHS_LOCALIZATION,0.04158348382412269,0.038495015187551065,0.07427152206953846
4.0,2.0,0.6,NW,0.012704230298170945,0.006451455770077026,0.49218050848732997
4.0,2.0,0.6,RKHS_LOCALIZATION,0.030851284915874435,0.028123004190936565,0.08843329321217486
8.0,0.0,0.08,NW,0.030993873771342485,0.030567145183271433,0.013768159192337315
8.0,0.0,0.08,RKHS_LOCALIZATION,0.7118942771706797,0.1451161361110998,0.7961549337243687
8.0,0.0,0.2,NW,0.014164226932201408,0.013074235534001999,0.07695382200643708
8.0,0.0,0.2,RKHS_LOCALIZATION,0.07622461743312285,0.06780804514208225,0.11041803257884564
8.0,0.0,0.4,NW,0.014454012088069845,0.007893833604136875,0.453865573375828
8.0,0.0,0.4,RKHS_LOCALIZATION,0.04030324630899809,0.038473732401083774,0.045393710816437616
8.0,0.0,0.6,NW,0.019163581352393357,0.0068985375763760395,0.6400183530666372
8.0,0.0,0.6,RKHS_LOCALIZATION,0.03011650183907608,0.02811530029174218,0.06644867182872305
8.0,2.0,0.08,NW,0.03194491198128858,0.030538929363520855,0.044012724736611
8.0,2.0,0.08,RKHS_LOCALIZATION,0.7531508036553829,0.14510873576933642,0.8073311014672522
8.0,2.0,0.2,NW,0.015271288648088981,0.013044762385341017,0.14579819123689908
8.0,2.0,0.2,RKHS_LOCALIZATION,0.07747891508867329,0.06782908743388608,0.12454779011480932
8.0,2.0,0.4,NW,0.01658937560195858,0.00796792494640281,0.519697115938342
8.0,2.0,0.4,RKHS_LOCALIZATION,0.04182126690490856,0.03848912471490711,0.07967578307892809
8.0,2.0,0.6,NW,0.022747875686665146,0.007008839990990777,0.6918903511021306
8.0,2.0,0.6,RKHS_LOCALIZATION,0.03191533073051202,0.028129115909834135,0.11863310622246337
