A,b,h,method,family,repetitions,coverage,bias,absolute_bias,rmse,empirical_sd,mean_estimated_se,sd_over_mean_se,mean_width,fallback_rate,selected_lambda_mean,negative_weight_fraction,normalized_linear_imbalance,normalized_quadratic_imbalance,effective_sample_size
2.0,0.0,0.08,NW_FIXED_H_LO,NW,500,0.942,0.009205939603314804,0.1391967804789158,0.1759764145667204,0.1759114516950311,0.178475644033889,0.9856328164398107,0.6996116688480267,,,0.0,0.001611473152200443,0.007689868297649444,726.672313317538
2.0,0.0,0.08,NW_FIXED_H_PPCI,NW,500,0.954,0.010618168027793935,0.1375819629665982,0.17501250202071283,0.17486505066241761,0.1808054422059431,0.9671448410454415,0.7087443098649734,,,0.0,0.001611473152200443,0.007689868297649444,726.672313317538
2.0,0.0,0.08,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.876,0.04851426775853752,0.3745442130751192,0.8461239333397893,0.8455779565216679,1.1413011589227962,0.7408894224901662,4.473818334005009,0.0,0.0005718263704932404,0.48511800000000005,0.00025198135548964626,4.6548064495090464e-05,156.70020886734233
2.0,0.0,0.08,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.98,0.0021910501996809835,0.29667951856805197,0.380568410773756,0.3809432373438868,0.37267081977106725,1.0221976530867143,1.4608427696806185,0.0,0.0005718263704932404,0.48511800000000005,0.00025198135548964626,4.6548064495090464e-05,156.70020886734233
2.0,0.0,0.2,NW_FIXED_H_LO,NW,500,0.896,0.09028712909312454,0.11803795735842389,0.14528983740968796,0.11394445072207658,0.115813246868362,0.9838637099224964,0.4539795855892714,,,0.0,0.0026161968488924016,0.04756331123781401,1816.9184273419298
2.0,0.0,0.2,NW_FIXED_H_PPCI,NW,500,0.898,0.08998947395129034,0.11785637858747355,0.14540223071452982,0.11432341387770356,0.11616964981664347,0.9841074158194165,0.4553766594745026,,,0.0,0.0026161968488924016,0.04756331123781401,1816.9184273419298
2.0,0.0,0.2,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.932,-0.004215120305319209,0.21412261719192613,0.2753022661220507,0.27554567921747375,0.26475598837626196,1.0407533401128508,1.0378244038175573,0.0,0.0006175207796467599,0.4868292,0.0002460727875845004,0.00012736907767938244,329.95555366860197
2.0,0.0,0.2,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.968,0.0016708609073552898,0.20418160507364214,0.2601207136393622,0.2603758534468888,0.26564070998566663,0.9801805358107124,1.0412924487991124,0.0,0.0006175207796467599,0.4868292,0.0002460727875845004,0.00012736907767938244,329.95555366860197
2.0,0.0,0.4,NW_FIXED_H_LO,NW,500,0.096,0.2923204237858276,0.2923204237858276,0.30535525375557787,0.08835277732096555,0.08817253894030738,1.0020441555026582,0.34563000149691586,,,0.0,0.003679130193112084,0.1477053743685404,3415.1933173708044
2.0,0.0,0.4,NW_FIXED_H_PPCI,NW,500,0.078,0.29243877800441703,0.29243877800441703,0.30505015898126114,0.08689223864102077,0.08548686375522012,1.0164396589612266,0.33510234822302787,,,0.0,0.003679130193112084,0.1477053743685404,3415.1933173708044
