setting,method,n_x0,n_reps,coverage_mean,coverage_min_x0,coverage_max_x0,bias_mean,abs_bias_mean,rmse_mean,rmse_max_x0,se_mean,emp_sd_mean,emp_sd_over_se_mean,width_mean,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean
base_q0.5_s1,LO,8,8000,0.9395,0.924,0.953,-0.019928084900788977,0.021882556196825297,0.31977055974084684,0.3594734426326374,0.2956302350195452,0.3190581491678345,1.07924735488148,1.1588705212766175,,,,,,41.69202429617041,,,11.350611975162757,0.0033295709879602627,0.5708601697460981
base_q0.5_s1,PPCI,8,8000,0.933125,0.917,0.949,-0.0005312233649168877,0.012664788180647889,0.33795460025075796,0.3906505207031447,0.3300016810160834,0.33772475813047464,1.0234031447676621,1.293606589583047,1.0,,,,,42.845610964636634,57.66983516894399,28.466248153758677,11.350611975162757,0.0033710283627733,0.5709016271209111
base_q0.5_s1,PPCI++,8,8000,0.93125,0.911,0.949,-0.004579476923590388,0.012152601404649237,0.29843396820568313,0.3320920671487222,0.2835303682454555,0.29826753154102514,1.0519773715484737,1.1114390435221857,0.2339419437359786,0.15355000000000002,0.10688952326092015,0.13162859450167438,0.3947396369879374,41.418564934635214,40.799714746067934,28.34776993293236,11.350611975162757,0.00158001990814225,0.56911061866628
base_q0.5_s1,PPI,8,8000,0.0,0.0,0.0,1.2090903905218504,1.2090903905218504,1.2102815189255967,1.4520467493361664,0.05317430899696741,0.05305995389006514,0.9978494293755883,0.20844329126811242,,,,,,,,,0.0,8.43559397617355e-05,8.43559397617355e-05
base_q0.9_s1,LO,8,8000,0.9395,0.924,0.953,-0.019928084900788977,0.021882556196825297,0.31977055974084684,0.3594734426326374,0.2956302350195452,0.3190581491678345,1.07924735488148,1.1588705212766175,,,,,,41.69202429617041,,,11.350611975162757,0.0033296082086162002,0.5708602069667541
base_q0.9_s1,PPCI,8,8000,0.9542499999999999,0.944,0.965,-0.0013937034293905748,0.0113216190215485,0.27074214422146803,0.2921769909621911,0.2643412600863356,0.2704927085545157,1.0232708600472395,1.036217739538436,1.0,,,,,41.36313918384438,37.306600798843306,9.65747822961518,11.350611975162757,0.0033791846461826503,0.5709097834043205
base_q0.9_s1,PPCI++,8,8000,0.94225,0.924,0.956,-0.002349532559837688,0.010791497677973287,0.27700143630218,0.3042380911748177,0.26454640013128283,0.27682485364162424,1.0464132322505546,1.0370218885146287,0.6860005181206208,0.22752499999999998,0.16005485943618447,0.4654676578217535,0.8524367337386293,41.21372184324662,37.43274024725447,9.802048129216317,11.350611975162757,0.0015872638353611876,0.569117862593499
base_q0.9_s1,PPI,8,8000,0.0,0.0,0.0,1.209234278820793,1.209234278820793,1.2101123427437066,1.4505892888894605,0.04578516477482196,0.045588651073673284,0.9957079175729702,0.17947784591730231,,,,,,,,,0.0,8.476638759020716e-05,8.476638759020716e-05
base_q0_s1,LO,8,8000,0.9395,0.924,0.953,-0.019928084900788977,0.021882556196825297,0.31977055974084684,0.3594734426326374,0.2956302350195452,0.3190581491678345,1.07924735488148,1.1588705212766175,,,,,,41.69202429617041,,,11.350611975162757,0.003329843248357038,0.5708604420064948
base_q0_s1,PPCI,8,8000,0.9276250000000001,0.912,0.935,0.0005468767156751632,0.015489592952641386,0.49224151884319306,0.6009639993012461,0.48105465074500076,0.4920537365135936,1.022864524335351,1.885734230920403,1.0,,,,,47.760956354017736,121.19857803414627,93.09404017116745,11.350611975162757,0.0033717822660691626,0.570902381024207
base_q0_s1,PPCI++,8,8000,0.934125,0.922,0.957,-0.007624697538102988,0.013281303479092638,0.3050625883847858,0.3402483516868033,0.28958748140161217,0.30485685390536865,1.0527280130682868,1.1351829270943194,0.0829403513239801,0.222125,0.05484044886237935,0.043077968335458725,0.17606587257174816,41.507983723687744,41.10037559254704,91.033890424378,11.350611975162757,0.001544547974015525,0.5690751467321533
base_q0_s1,PPI,8,8000,0.0,0.0,0.0,1.2089105301481724,1.2089105301481724,1.2111204141258407,1.4543981622776072,0.07234321089014517,0.07226852413075188,0.998967605135654,0.2835853866893691,,,,,,,,,0.0,8.452020795084536e-05,8.452020795084536e-05
