setting,method,x0_index,x0_1,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,rmse,se_mean,width,emp_sd,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,x0_2,x0_3
base_q0.5_s1,LO,0,0.7,1000,50,0.944,0.0066455447712074,0.0469910977239957,-0.0278906862368892,0.3594734426326374,0.3267845762818177,1.2809955390247256,0.3585691529075142,,,,,,47.01628503412778,,,11.370885759796948,0.0033216069908812,0.5718658949807286,0.7,0.7
base_q0.5_s1,LO,1,0.7,1000,50,0.948,0.006540298938434,0.0462468973035389,-0.0369876758527116,0.3305616289231448,0.3096589779526018,1.2138631935741993,0.328650138086997,,,,,,44.023522750712246,,,11.36372777696699,0.0033214796949177,0.5715078685432673,0.7,0.85
base_q0.5_s1,LO,2,0.7,1000,50,0.951,0.0080165644837703,0.0566856710829328,-0.0310256437772891,0.3308945118053243,0.3080208973726221,1.2074419177006792,0.3296016149773608,,,,,,44.69333741334584,,,11.365334635414182,0.0033227432081475,0.5715894749788567,0.85,0.7
base_q0.5_s1,LO,3,0.7,1000,50,0.929,0.007705020891521,0.0544827252157853,0.0078178851841453,0.3115884419314845,0.2902536373668463,1.1377942584780378,0.3116462115568154,,,,,,39.57600105340045,,,11.3846619046852,0.0033342270050197,0.5725673222392796,0.85,0.85
base_q0.5_s1,LO,4,0.85,1000,50,0.94,0.0065465367070797,0.0462910049886275,-0.0224629984991091,0.3186428821673915,0.2940603319542201,1.152716501260543,0.3180091663525683,,,,,,43.15018445740539,,,11.38797388382256,0.0033342985017225,0.5727329926928505,0.7,0.7
base_q0.5_s1,LO,5,0.85,1000,50,0.924,0.0075916172889065,0.0536808406515883,-0.0100989274880437,0.3066390998388258,0.2804722004635842,1.0994510258172498,0.3066261058395697,,,,,,38.15759016222575,,,11.3816378422454,0.0033346744282171,0.5724165665404871,0.7,0.85
base_q0.5_s1,LO,6,0.85,1000,50,0.953,0.0059607560128643,0.0421489099769483,-0.0157631746854388,0.3025484373449716,0.2839549611528947,1.1131034477193475,0.3022886992949654,,,,,,39.64084459657322,,,11.26392232492566,0.0033323680609464,0.5665284843072296,0.85,0.7
base_q0.5_s1,LO,7,0.85,1000,50,0.927,0.0078519463335207,0.0555216449794536,-0.0230134578509756,0.2978160332829949,0.2718362976117748,1.0655982866381573,0.2970741043268849,,,,,,37.278428901572575,,,11.286751673445105,0.00333517001383,0.5676727536860854,0.85,0.85
base_q0.5_s1,PPCI,0,0.7,1000,50,0.921,0.0078363360868014,0.0554112638663413,-0.0022737029233158,0.3906505207031447,0.3780221435052106,1.4818468025404254,0.3908393723969866,1.0,,,,,49.462567924411566,74.92463070331765,45.27462899056256,11.370885759796948,0.0033625295851379,0.5719068175749853,0.7,0.7
base_q0.5_s1,PPCI,1,0.7,1000,50,0.934,0.0070624040538904,0.0499387379798529,-0.0128192337131843,0.3561487776670322,0.3521866964182798,1.3805718499596569,0.3560960874598766,1.0,,,,,45.37886204672262,65.15395548021186,37.1215297242682,11.36372777696699,0.0033621064582839,0.5715484953066334,0.7,0.85
base_q0.5_s1,PPCI,2,0.7,1000,50,0.933,0.0080318244553546,0.056793575376812,-0.0092426812948482,0.3418355129559524,0.3386053221225794,1.3273328627205114,0.3418815200242256,1.0,,,,,45.76506824872353,60.43865080076695,28.76784913784491,11.365334635414182,0.003363325593993,0.5716300573647022,0.85,0.7
base_q0.5_s1,PPCI,3,0.7,1000,50,0.917,0.00921511624164,0.0651607118388599,0.0368613109748,0.3231776565122933,0.316968018362437,1.2425146319807527,0.3212292478147788,1.0,,,,,40.060107513819496,53.07687074424363,21.650661201616817,11.3846619046852,0.0033758736476302,0.5726089688818902,0.85,0.85
base_q0.5_s1,PPCI,4,0.85,1000,50,0.946,0.0071199633110726,0.0503457433905888,-0.0141478381216265,0.3436807942909486,0.3376710827778756,1.3236706444892723,0.3435612920605927,1.0,,,,,44.62354445730054,59.498517737030014,32.234464850093005,11.38797388382256,0.0033767690891399,0.572775463280268,0.7,0.7
base_q0.5_s1,PPCI,5,0.85,1000,50,0.935,0.0084816729193127,0.0599744843705237,0.011672948288124,0.3213394318799425,0.3145639662146901,1.233090747561585,0.3212880308351759,1.0,,,,,39.06567745442624,52.01387116942847,26.46535521490518,11.3816378422454,0.0033751670243218,0.5724570591365918,0.7,0.85
base_q0.5_s1,PPCI,6,0.85,1000,50,0.949,0.008389741062872,0.0593244279795603,-0.0031149191200046,0.3133424714871217,0.3074198865032159,1.2050859550926063,0.3134837695803785,1.0,,,,,40.36209164172143,49.94110572987111,19.02806058119813,11.26392232492566,0.0033748432621359,0.5665709595084191,0.85,0.7
base_q0.5_s1,PPCI,7,0.85,1000,50,0.93,0.0084515425472851,0.0597614304667196,-0.0111856710092797,0.3134616365096286,0.2945763322243791,1.154739222319566,0.3134187448717828,1.0,,,,,38.04696842996769,46.31107898668224,17.187435529580593,11.286751673445105,0.0033776122415438,0.5677151959137992,0.85,0.85
base_q0.5_s1,PPCI++,0,0.7,1000,50,0.932,0.0069634614896879,0.0492391083988973,-0.0082298374301349,0.3320920671487222,0.3088597891951581,1.2107303736450197,0.3321561960547515,0.1995456964694143,0.164,0.0946221848737642,0.1109886828896171,0.3434546311372798,46.674357035938506,46.504301949625294,44.83023600767624,11.370885759796948,0.0015661657042801,0.5701104536941275,0.7,0.7
