setting,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,A_score_mean_mean,M2_lambda_min_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
base_q0.5_s1,LO,150,0.0,1.0,,,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,,
base_q0.5_s1,PPCI,150,0.0,1.0,0.0285585266209712,1.2,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,3.533830166189728,1.0490044003074506
base_q0.5_s1,PPCI++,150,0.0,1.0,0.0285585266209712,1.2,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,3.533830166189728,1.0490044003074506
base_q0.5_s1,PPI,150,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,150,0.0,1.0,,,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,,
base_q0.9_s1,PPCI,150,0.0,1.0,0.0285585266209712,1.2,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,3.533830166189728,1.0490044003074506
base_q0.9_s1,PPCI++,150,0.0,1.0,0.0285585266209712,1.2,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,3.533830166189728,1.0490044003074506
base_q0.9_s1,PPI,150,0.0,0.0,,,,,,,,,,,,,,
base_q0_s1,LO,150,0.0,1.0,,,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,,
base_q0_s1,PPCI,150,0.0,1.0,0.0285585266209712,1.2,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,3.533830166189728,1.0490044003074506
base_q0_s1,PPCI++,150,0.0,1.0,0.0285585266209712,1.2,4670.943333333334,0.0597144693029573,0.0946892252237726,0.25,0.7752870459266906,4740.412637837312,-0.010975770293292,1.118399082421133,1.000029519575091,6.197176175738896,3.533830166189728,1.0490044003074506
base_q0_s1,PPI,150,0.0,0.0,,,,,,,,,,,,,,
base_q0.5_s1,LO,150,0.0,1.0,,,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,,
base_q0.5_s1,PPCI,150,0.0,1.0,0.031089858945471,1.2,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,2.972037340393824,0.9230712858435814
base_q0.5_s1,PPCI++,150,0.0,1.0,0.031089858945471,1.2,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,2.972037340393824,0.9230712858435814
base_q0.5_s1,PPI,150,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,150,0.0,1.0,,,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,,
base_q0.9_s1,PPCI,150,0.0,1.0,0.031089858945471,1.2,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,2.972037340393824,0.9230712858435814
base_q0.9_s1,PPCI++,150,0.0,1.0,0.031089858945471,1.2,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,2.972037340393824,0.9230712858435814
base_q0.9_s1,PPI,150,0.0,0.0,,,,,,,,,,,,,,
base_q0_s1,LO,150,0.0,1.0,,,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,,
base_q0_s1,PPCI,150,0.0,1.0,0.031089858945471,1.2,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,2.972037340393824,0.9230712858435814
base_q0_s1,PPCI++,150,0.0,1.0,0.031089858945471,1.2,4678.166666666667,0.1016651163547724,0.0953836262108202,0.25,0.8387864088537549,8729.7375039922,-0.0073889806486284,1.1535290030852632,1.0019822334934485,5.88413226553282,2.972037340393824,0.9230712858435814
base_q0_s1,PPI,150,0.0,0.0,,,,,,,,,,,,,,
