dataset,reference,method,internal_methods,n_targets,n_reps_per_target_min,bias_mean,abs_bias_mean,rmse_mean,width_mean
blogfeedback,matern52_0.8h0,PPCI,GH_P1_c300,50,1000,0.02064229444420129,0.021476851070836845,0.04248019290341021,0.14420032443485137
blogfeedback,matern52_0.8h0,LO,LO_GH_P1_c300w,50,1000,0.020874885044901356,0.02161865896551062,0.060341818662480666,0.22265160949948037
blogfeedback,matern52_0.8h0,PPI,PPI_global,50,1000,0.1301346582344353,0.1340676857234491,0.14017115874883523,0.15243763304335986
blogfeedback,matern52_h0,PPCI,GH_P1_c300,50,1000,0.002144934177276603,0.003167402208258494,0.03660921272053064,0.14420032443485137
blogfeedback,matern52_h0,LO,LO_GH_P1_c300w,50,1000,0.0023775247779766685,0.003760601329721681,0.05626548099916758,0.22265160949948037
blogfeedback,matern52_h0,PPI,PPI_global,50,1000,0.1116372979675106,0.11413006832985506,0.12127980010117925,0.15243763304335986
blogfeedback,matern52_1.2h0,PPCI,GH_P1_c300,50,1000,-0.012991632850351022,0.014636184827839882,0.03969326710940488,0.14420032443485137
blogfeedback,matern52_1.2h0,LO,LO_GH_P1_c300w,50,1000,-0.01275904224965096,0.014618385928821418,0.05833631577742798,0.22265160949948037
blogfeedback,matern52_1.2h0,PPI,PPI_global,50,1000,0.09650073093988297,0.09820976467949499,0.10646232600630552,0.15243763304335986
blogfeedback,gaussian_ess_matched,PPCI,GH_P1_c300,50,1000,0.0037384122047973522,0.004069220511085661,0.03674448817306658,0.14420032443485137
blogfeedback,gaussian_ess_matched,LO,LO_GH_P1_c300w,50,1000,0.003971002805497417,0.004534079475605014,0.05635514451834614,0.22265160949948037
blogfeedback,gaussian_ess_matched,PPI,PPI_global,50,1000,0.11323077599503137,0.11543949736869581,0.12254794567762024,0.15243763304335986
