dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
blogfeedback,0,matern52_0.8h0,matern52,13.642173341830869,0.8,12613.053556419005,0.4920606960705791
blogfeedback,0,matern52_h0,matern52,17.052716677288586,1.0,13192.455300328682,0.5148905614993182
blogfeedback,0,matern52_1.2h0,matern52,20.463260012746304,1.2,13560.190692231788,0.5327970766497635
blogfeedback,0,gaussian_ess_matched,gaussian,17.1813408791197,1.0075427396270775,13192.455300328682,0.5137763520305936
blogfeedback,7,matern52_0.8h0,matern52,9.696896866744808,0.8000000000000002,10756.855062932802,0.4661778108294078
blogfeedback,7,matern52_h0,matern52,12.121121083431008,1.0,11831.02561302876,0.48730386167157713
blogfeedback,7,matern52_1.2h0,matern52,14.545345300117209,1.2,12531.600254180754,0.5050637364597396
blogfeedback,7,gaussian_ess_matched,gaussian,11.917960018133874,0.9832390862281835,11831.02561302876,0.4838773145446893
blogfeedback,14,matern52_0.8h0,matern52,9.628047270878788,0.8000000000000002,10718.513512238218,0.468140013758773
blogfeedback,14,matern52_h0,matern52,12.035059088598484,1.0,11798.172643068023,0.4884906334899638
blogfeedback,14,matern52_1.2h0,matern52,14.442070906318179,1.2,12504.9766908971,0.5057918261339202
blogfeedback,14,gaussian_ess_matched,gaussian,11.825454317384256,0.9825838186857929,11798.172643068023,0.4849155220231663
blogfeedback,21,matern52_0.8h0,matern52,16.096265257966056,0.8,13428.709816362343,0.551405158058703
blogfeedback,21,matern52_h0,matern52,20.12033157245757,1.0,13774.255990066358,0.5652206529216839
blogfeedback,21,matern52_1.2h0,matern52,24.144397886949083,1.2,13988.597460071418,0.5761162098374163
blogfeedback,21,gaussian_ess_matched,gaussian,20.37594551212037,1.012704260799196,13774.255990066358,0.5643555542408866
blogfeedback,28,matern52_0.8h0,matern52,9.834772527005585,0.8,10879.469280103915,0.47417491314856014
blogfeedback,28,matern52_h0,matern52,12.29346565875698,1.0,11915.304650790038,0.49335906724558903
blogfeedback,28,matern52_1.2h0,matern52,14.752158790508377,1.2,12593.401803036219,0.5099387837351904
blogfeedback,28,gaussian_ess_matched,gaussian,12.119703243732031,0.9858654654555306,11915.304650790038,0.4896184921903172
blogfeedback,35,matern52_0.8h0,matern52,13.092564503591753,0.8,12718.143870530708,0.49260521108466304
blogfeedback,35,matern52_h0,matern52,16.36570562948969,1.0,13241.222237666434,0.5151712281519913
blogfeedback,35,matern52_1.2h0,matern52,19.638846755387625,1.2,13580.895976360756,0.5328305570195165
blogfeedback,35,gaussian_ess_matched,gaussian,16.631299740440117,1.0162286990224147,13241.222237666438,0.5147794986072678
blogfeedback,42,matern52_0.8h0,matern52,9.416293859376049,0.8,10524.846747524743,0.4477685768856159
blogfeedback,42,matern52_h0,matern52,11.77036732422006,1.0,11640.45710701969,0.47201287935981223
blogfeedback,42,matern52_1.2h0,matern52,14.124440789064073,1.2,12379.58489964063,0.49192690351051377
blogfeedback,42,gaussian_ess_matched,gaussian,11.510891533333165,0.9779551662459193,11640.45710701969,0.46916631982601736
blogfeedback,49,matern52_0.8h0,matern52,9.659895237891817,0.8,10618.568826081868,0.4411342910648395
blogfeedback,49,matern52_h0,matern52,12.074869047364771,1.0,11724.630969764747,0.46763251423405383
blogfeedback,49,matern52_1.2h0,matern52,14.489842856837726,1.2,12450.828265741577,0.48893055504672356
blogfeedback,49,gaussian_ess_matched,gaussian,11.811635404312092,0.97819987595558,11724.630969764747,0.4651200832536966
