x0_index,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
0,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.8933333333333333,0.02685478018384204,0.02685478018384204,0.044282383631890174,0.14110570954336416,0.4920606960705791,0.5189154762544211,15,0.022817425810877975
0,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.9333333333333333,0.032139565979082775,0.032139565979082775,0.061817777862887814,0.2170875587090326,0.4920606960705791,0.5242002620496619,15,0.010540925533894595
0,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.04,0.14423213534186605,0.14423213534186605,0.14966351064082634,0.15377335792662006,0.4920606960705791,0.6362928314124452,15,0.0148002573980191
7,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.96,0.018074701185867587,0.018074701185867587,0.03836457273499638,0.14652722056183284,0.4661778108294078,0.4842525120152754,15,0.011126972805283738
7,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.9533333333333334,0.02116716635401224,0.02116716635401224,0.057311574049552824,0.21826792749360563,0.4661778108294078,0.48734497718341996,15,0.011408712905438989
7,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.006666666666666667,0.1623588384189338,0.1623588384189338,0.16647131797607942,0.15326341252802667,0.4661778108294078,0.6285366492483415,15,0.00454256762579498
14,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.9366666666666666,0.018856348762554664,0.018856348762554664,0.0405643875280218,0.14672064185467443,0.468140013758773,0.4869963625213276,15,0.010312575156051289
14,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.96,0.023097703648971294,0.023097703648971294,0.05935531312948458,0.2193551912089447,0.468140013758773,0.4912377174077443,15,0.01
14,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.013333333333333334,0.16636331974392096,0.16636331974392096,0.1703959902975594,0.15241460387502254,0.468140013758773,0.634503333502694,15,0.005909368402852789
21,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.9466666666666667,0.01926571647415566,0.01926571647415566,0.040080399084984585,0.14959219563486795,0.551405158058703,0.5706708745328587,15,0.016523191974188067
21,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.9633333333333334,0.01648013475439127,0.01648013475439127,0.058054917360218464,0.2321284686974462,0.551405158058703,0.5678852928130943,15,0.011408712905438987
21,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.52,0.07527191967711043,0.07527191967711043,0.08330071712947701,0.15212798806407327,0.551405158058703,0.6266770777358136,15,0.029600514796038195
28,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.9233333333333333,0.021471600190397226,0.021471600190397226,0.04322203143047677,0.14808337232203894,0.47417491314856014,0.4956465133389574,15,0.014529663145135574
28,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.9433333333333334,0.021679672612408107,0.021679672612408107,0.06144164916892505,0.2206184248278376,0.47417491314856014,0.4958545857609683,15,0.00826159598709403
28,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.013333333333333334,0.15806539098743816,0.15806539098743816,0.16267162527373275,0.15307616132130716,0.47417491314856014,0.6322403041359983,15,0.007663560447348135
35,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.9066666666666666,0.02465027706527586,0.02465027706527586,0.04298724425130333,0.14156947337811882,0.49260521108466304,0.5172554881499388,15,0.02228958045422562
35,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.93,0.025990305754557356,0.025990305754557356,0.060946158240206466,0.21608018778578383,0.49260521108466304,0.5185955168392203,15,0.013627702877384932
35,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.03333333333333333,0.14326306099138728,0.14326306099138728,0.14815397994371987,0.15305252036077133,0.49260521108466304,0.6358682720760503,15,0.0105409255338946
42,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.91,0.02366755883036996,0.02366755883036996,0.04412968773677715,0.14162059335479488,0.4477685768856159,0.4714361357159858,15,0.01558387444947959
42,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.92,0.025542780009980375,0.025542780009980375,0.06564977268671592,0.21391834349011044,0.4477685768856159,0.4733113568955963,15,0.012724180205607028
42,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.0,0.18409845780203463,0.18409845780203463,0.18840645897416133,0.1533266745649231,0.4477685768856159,0.6318670346876506,15,0.0
49,GH_P1_c300,blogfeedback,matern52_0.8h0,PPCI,300,0.8633333333333333,0.02978239040733328,0.02978239040733328,0.04741592353179846,0.13972630319856438,0.4411342910648395,0.4709166814721728,15,0.017906281597107773
49,LO_GH_P1_c300w,blogfeedback,matern52_0.8h0,LO,300,0.92,0.022220251945375,0.022220251945375,0.059109240963003754,0.20908085909107293,0.4411342910648395,0.4633545430102144,15,0.015275252316519465
49,PPI_global,blogfeedback,matern52_0.8h0,PPI,300,0.0,0.1955036716552675,0.1955036716552675,0.19899118892475595,0.15256634362199625,0.4411342910648395,0.636637962720107,15,0.0
0,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.96,0.004024914755102937,0.004024914755102937,0.03543938797701316,0.14110570954336416,0.5148905614993182,0.5189154762544211,15,0.01
0,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9466666666666667,0.009309700550343677,0.009309700550343677,0.05362048566470279,0.2170875587090326,0.5148905614993182,0.5242002620496619,15,0.0124083944959956
0,PPI_global,blogfeedback,matern52_h0,PPI,300,0.14666666666666667,0.12140226991312691,0.12140226991312691,0.12780754552107673,0.15377335792662006,0.5148905614993182,0.6362928314124452,15,0.025102962577328
7,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.97,-0.0030513496563017526,0.0030513496563017526,0.0339772917241124,0.14652722056183284,0.48730386167157713,0.4842525120152754,15,0.01069044967649698
7,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9433333333333334,4.111551184289908e-05,4.111551184289908e-05,0.053259452485584786,0.21826792749360563,0.48730386167157713,0.48734497718341996,15,0.009594972228385656
7,PPI_global,blogfeedback,matern52_h0,PPI,300,0.03666666666666667,0.14123278757676444,0.14123278757676444,0.14594179518784522,0.15326341252802667,0.48730386167157713,0.6285366492483415,15,0.01652319197418807
14,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.9466666666666667,-0.0014942709686361258,0.0014942709686361258,0.03594635576238769,0.14672064185467443,0.4884906334899638,0.4869963625213276,15,0.01419814430083388
14,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.93,0.002747083917780504,0.002747083917780504,0.05474573730341743,0.2193551912089447,0.4884906334899638,0.4912377174077443,15,0.014474937289114918
14,PPI_global,blogfeedback,matern52_h0,PPI,300,0.023333333333333334,0.14601270001273017,0.14601270001273017,0.15059132750020968,0.15241460387502254,0.4884906334899638,0.634503333502694,15,0.00959497222838566
21,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.95,0.005450221611174827,0.005450221611174827,0.035566493714730966,0.14959219563486795,0.5652206529216839,0.5706708745328587,15,0.014638501094227995
21,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9633333333333334,0.0026646398914104297,0.0026646398914104297,0.055730412648120564,0.2321284686974462,0.5652206529216839,0.5678852928130943,15,0.011408712905438989
21,PPI_global,blogfeedback,matern52_h0,PPI,300,0.69,0.06145642481412957,0.06145642481412957,0.07106363158003216,0.15212798806407327,0.5652206529216839,0.6266770777358136,15,0.032440421581430665
28,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.9633333333333334,0.0022874460933683303,0.0022874460933683303,0.037581202693247086,0.14808337232203894,0.49335906724558903,0.4956465133389574,15,0.00908513525158996
28,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9533333333333334,0.0024955185153792163,0.0024955185153792163,0.05754385858348978,0.2206184248278376,0.49335906724558903,0.4958545857609683,15,0.012408394495995604
28,PPI_global,blogfeedback,matern52_h0,PPI,300,0.04666666666666667,0.1388812368904093,0.1388812368904093,0.14410200484863492,0.15307616132130716,0.49335906724558903,0.6322403041359983,15,0.014198144300833883
35,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.96,0.002084259997947556,0.002084259997947556,0.03527904687864159,0.14156947337811882,0.5151712281519913,0.5172554881499388,15,0.008728715609439695
35,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9533333333333334,0.003424288687229048,0.003424288687229048,0.0552328160067762,0.21608018778578383,0.5151712281519913,0.5185955168392203,15,0.01031257515605129
35,PPI_global,blogfeedback,matern52_h0,PPI,300,0.13333333333333333,0.12069704392405896,0.12069704392405896,0.12646372420796576,0.15305252036077133,0.5151712281519913,0.6358682720760503,15,0.029141145296750937
42,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.9333333333333333,-0.0005767436438263854,0.0005767436438263854,0.03725061921615707,0.14162059335479488,0.47201287935981223,0.4714361357159858,15,0.015170983163879988
42,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9066666666666666,0.001298477535784029,0.001298477535784029,0.06049086779911621,0.21391834349011044,0.47201287935981223,0.4733113568955963,15,0.01278640150675957
42,PPI_global,blogfeedback,matern52_h0,PPI,300,0.01,0.15985415532783828,0.15985415532783828,0.16479715590285976,0.1533266745649231,0.47201287935981223,0.6318670346876506,15,0.005345224838248488
49,GH_P1_c300,blogfeedback,matern52_h0,PPCI,300,0.9433333333333334,0.0032841672381189314,0.0032841672381189314,0.03704139279841506,0.13972630319856438,0.46763251423405383,0.4709166814721728,15,0.01452966314513558
49,LO_GH_P1_c300w,blogfeedback,matern52_h0,LO,300,0.9266666666666666,-0.004277971223839354,0.004277971223839354,0.05494054794501504,0.20908085909107293,0.46763251423405383,0.4633545430102144,15,0.012786401506759571
49,PPI_global,blogfeedback,matern52_h0,PPI,300,0.0033333333333333335,0.16900544848605317,0.16900544848605317,0.1730278857784757,0.15256634362199625,0.46763251423405383,0.636637962720107,15,0.003333333333333333
0,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.9166666666666666,-0.01388160039534234,0.01388160039534234,0.03784770945427726,0.14110570954336416,0.5327970766497635,0.5189154762544211,15,0.01593638145779191
