dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift,ppci_width,abs_shift_over_ppci_width
blogfeedback,0,matern52_0.8h0,matern52,13.642173341830869,0.8,12613.053556419005,0.4920606960705791,0.5148905614993182,-0.022829865428739105,0.022829865428739105,0.14110570954336416,0.16179264115264666
blogfeedback,0,matern52_h0,matern52,17.052716677288586,1.0,13192.455300328682,0.5148905614993182,0.5148905614993182,0.0,0.0,0.14110570954336416,0.0
blogfeedback,0,matern52_1.2h0,matern52,20.463260012746304,1.2,13560.190692231788,0.5327970766497635,0.5148905614993182,0.01790651515044528,0.01790651515044528,0.14110570954336416,0.12690142169578408
blogfeedback,0,gaussian_ess_matched,gaussian,17.1813408791197,1.0075427396270775,13192.455300328682,0.5137763520305936,0.5148905614993182,-0.0011142094687246473,0.0011142094687246473,0.14110570954336416,0.007896274873145597
blogfeedback,7,matern52_0.8h0,matern52,9.696896866744808,0.8000000000000002,10756.855062932802,0.4661778108294078,0.48730386167157713,-0.02112605084216934,0.02112605084216934,0.14652722056183287,0.14417833601951374
blogfeedback,7,matern52_h0,matern52,12.121121083431008,1.0,11831.02561302876,0.48730386167157713,0.48730386167157713,0.0,0.0,0.14652722056183287,0.0
blogfeedback,7,matern52_1.2h0,matern52,14.545345300117209,1.2,12531.600254180754,0.5050637364597396,0.48730386167157713,0.017759874788162433,0.017759874788162433,0.14652722056183287,0.12120529359708944
blogfeedback,7,gaussian_ess_matched,gaussian,11.917960018133874,0.9832390862281835,11831.02561302876,0.4838773145446893,0.48730386167157713,-0.0034265471268878356,0.0034265471268878356,0.14652722056183287,0.0233850551027266
blogfeedback,14,matern52_0.8h0,matern52,9.628047270878788,0.8000000000000002,10718.513512238218,0.468140013758773,0.4884906334899638,-0.02035061973119079,0.02035061973119079,0.14672064185467443,0.13870318091538822
blogfeedback,14,matern52_h0,matern52,12.035059088598484,1.0,11798.172643068023,0.4884906334899638,0.4884906334899638,0.0,0.0,0.14672064185467443,0.0
