dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
income,1,70,matern52_0.8h0,matern52,1.0833029730932935,0.8,122870.75821224303,7.188573395937842
income,1,70,matern52_h0,matern52,1.3541287163666167,1.0,141847.48767048374,6.886993353152678
income,1,70,matern52_1.2h0,matern52,1.62495445963994,1.2,155570.1482602345,6.618107050477001
income,1,70,gaussian_ess_matched,gaussian,1.3063915254638891,0.9647469326026735,141847.48767048377,6.967905707545881
income,1,71,matern52_0.8h0,matern52,1.1182482302898513,0.8,123718.61636909966,7.153436818494457
income,1,71,matern52_h0,matern52,1.397810287862314,1.0,142835.22156874408,6.85268486576419
income,1,71,matern52_1.2h0,matern52,1.6773723454347766,1.2,156494.3359532835,6.586370468653638
income,1,71,gaussian_ess_matched,gaussian,1.3462072355752224,0.9630829356922185,142835.22156874413,6.934030555873068
income,1,72,matern52_0.8h0,matern52,1.1531934874864092,0.8,124558.20142184339,7.119787103468729
income,1,72,matern52_h0,matern52,1.4414918593580113,1.0,143800.44211941838,6.819842917392506
income,1,72,matern52_1.2h0,matern52,1.7297902312296134,1.2,157385.25647845503,6.556085357256946
income,1,72,gaussian_ess_matched,gaussian,1.3860099148228013,0.9615107472338279,143800.44211941838,6.901482813218666
income,1,73,matern52_0.8h0,matern52,1.188138744682967,0.8,125394.1082905673,7.087517792054701
income,1,73,matern52_h0,matern52,1.4851734308537086,1.0,144745.89654094644,6.788370014178103
income,1,73,matern52_1.2h0,matern52,1.7822081170244501,1.2,158245.4917244584,6.527153687404221
income,1,73,gaussian_ess_matched,gaussian,1.4258157119655364,0.9600331397969784,144745.89654094647,6.870160097129707
income,1,74,matern52_0.8h0,matern52,1.2230840018795248,0.8,126229.7697205521,7.056532194295672
income,1,74,matern52_h0,matern52,1.5288550023494059,1.0,145673.58730339326,6.758177456728086
income,1,74,matern52_1.2h0,matern52,1.834626002819287,1.2,159077.11332312928,6.499486256614792
income,1,74,gaussian_ess_matched,gaussian,1.4656386248411293,0.9586511622023466,145673.5873033933,6.839972436978485
income,1,75,matern52_0.8h0,matern52,1.2580292590760827,0.8,127067.64620206758,7.026742441111072
income,1,75,matern52_h0,matern52,1.5725365738451031,1.0,146584.92711584884,6.729184392914373
income,1,75,matern52_1.2h0,matern52,1.8870438886141236,1.2,159881.7962811534,6.473001705084577
income,1,75,gaussian_ess_matched,gaussian,1.5054905910543648,0.9573644366014329,146584.9271158489,6.810840720780468
income,1,76,matern52_0.8h0,matern52,1.2929745162726405,0.8,127909.38967384497,6.998068586540379
income,1,76,matern52_h0,matern52,1.6162181453408004,1.0,147480.86705996163,6.701316969709773
income,1,76,matern52_1.2h0,matern52,1.9394617744089604,1.2,160660.9094719658,6.447625654780669
income,1,76,gaussian_ess_matched,gaussian,1.545381615481955,0.9561714301605564,147480.8670599617,6.782695282540459
income,1,77,matern52_0.8h0,matern52,1.3279197734691983,0.8,128755.98324799775,6.970437755652658
income,1,77,matern52_h0,matern52,1.6598997168364977,1.0,148362.0017123476,6.674507573728134
income,1,77,matern52_1.2h0,matern52,1.9918796602037971,1.2,161415.5872345728,6.423289954795654
income,1,77,gaussian_ess_matched,gaussian,1.5853199137053946,0.9550696934431435,148362.00171234764,6.755474642644256
income,1,78,matern52_0.8h0,matern52,1.3628650306657564,0.8000000000000002,129607.86106711227,6.9437833741243
income,1,78,matern52_h0,matern52,1.7035812883321952,1.0,149228.65514327076,6.648694160441111
income,1,78,matern52_1.2h0,matern52,2.044297545998634,1.2,162146.78576856668,6.399932021581311
income,1,78,gaussian_ess_matched,gaussian,1.6253120644147192,0.9540560673837281,149228.65514327082,6.7291243928749624
income,1,79,matern52_0.8h0,matern52,1.3978102878623142,0.8000000000000002,130465.01194466687,6.918044472485533
income,1,79,matern52_h0,matern52,1.7472628598278925,1.0,150080.95111694038,6.623819661164262
income,1,79,matern52_1.2h0,matern52,2.096715431793471,1.2,162855.32735205165,6.37749426060979
income,1,79,gaussian_ess_matched,gaussian,1.6653631674626919,0.9531268624497244,150080.95111694044,6.703596213361562
income,1,80,matern52_0.8h0,matern52,1.432755545058872,0.8,131327.06882351555,6.893165066369206
income,1,80,matern52_h0,matern52,1.7909444313235898,1.0,150918.87000924035,6.599831460900203
income,1,80,matern52_1.2h0,matern52,2.1491333175883076,1.2,163541.93475592724,6.355923559158584
income,1,80,gaussian_ess_matched,gaussian,1.705477001323852,0.9522780112521004,150918.87000924035,6.678847012855874
income,1,81,matern52_0.8h0,matern52,1.4677008022554299,0.8,132193.38612757134,6.869093657605527
income,1,81,matern52_h0,matern52,1.8346260028192871,1.0,151742.29467328102,6.576680952449955
income,1,81,matern52_1.2h0,matern52,2.2015512033831444,1.2,164207.25782346155,6.335170845415267
income,1,81,gaussian_ess_matched,gaussian,1.7456561773595392,0.9515051976135588,151742.29467328102,6.654838180208647
income,1,82,matern52_0.8h0,matern52,1.5026460594519877,0.8,133063.10650370453,6.845782836729963
income,1,82,matern52_h0,matern52,1.8783075743149844,1.0,152551.0470673809,6.554323155487662
income,1,82,matern52_1.2h0,matern52,2.253969089177981,1.2,164851.89379436275,6.315190704262289
income,1,82,gaussian_ess_matched,gaussian,1.78590228828537,0.950803964540624,152551.04706738092,6.6315349361009135
income,1,83,matern52_0.8h0,matern52,1.5375913166485455,0.8,133935.21809598687,6.823188951436353
income,1,83,matern52_h0,matern52,1.9219891458106817,1.0,153344.91714766654,6.532716385825616
income,1,83,matern52_1.2h0,matern52,2.306386974972818,1.2,165476.40264598592,6.295941039786368
income,1,83,gaussian_ess_matched,gaussian,1.8262160485350118,0.9501698032559526,153344.91714766654,6.60890577486182
income,1,84,matern52_0.8h0,matern52,1.5725365738451034,0.8,134808.60323393013,6.801271808779809
income,1,84,matern52_h0,matern52,1.965670717306379,1.0,154123.685274289,6.511821961855993
income,1,84,matern52_1.2h0,matern52,2.3588048607676546,1.2,166081.31847671964,6.277382775949003
income,1,84,gaussian_ess_matched,gaussian,1.8665974243834678,0.9495982251500015,154123.68527428902,6.586921987060813
income,1,85,matern52_0.8h0,matern52,1.6074818310416612,0.8,135682.07939479093,6.77999440029616
income,1,85,matern52_h0,matern52,2.0093522888020763,1.0,154887.1392169244,6.491603941585136
income,1,85,matern52_1.2h0,matern52,2.4112227465624914,1.2,166667.15776986466,6.259479589734695
income,1,85,gaussian_ess_matched,gaussian,1.907045752676979,0.9490848186775204,154887.1392169244,6.565557253585333
income,1,86,matern52_0.8h0,matern52,1.642427088238219,0.8,136554.43335302992,6.759322647359173
income,1,86,matern52_h0,matern52,2.0530338602977736,1.0,155635.0867206118,6.472028886351448
income,1,86,matern52_1.2h0,matern52,2.463640632357328,1.2,167234.42522742273,6.242197672534695
income,1,86,gaussian_ess_matched,gaussian,1.9475598482072318,0.9486252934594835,155635.08672061184,6.544787301867952
income,1,87,matern52_0.8h0,matern52,1.6773723454347769,0.8,137424.44946485586,6.7392251639209935
income,1,87,matern52_h0,matern52,2.096715431793471,1.0,156367.36447968232,6.453065647674777
income,1,87,matern52_1.2h0,matern52,2.516058518152165,1.2,167783.61773884692,6.225505516069955
income,1,87,gaussian_ess_matched,gaussian,1.9881381007893044,0.9482155139616193,156367.36447968232,6.524589615167839
income,1,88,matern52_0.8h0,matern52,1.7123176026313347,0.8,138290.93285398994,6.719673035123478
income,1,88,matern52_h0,matern52,2.140397003289168,1.0,157083.84421544077,6.434685174491138
income,1,88,matern52_1.2h0,matern52,2.5684764039470016,1.2,168315.22693116777,6.209373719820048
income,1,88,gaussian_ess_matched,gaussian,2.0287785628456545,0.9478515246134299,157083.84421544077,6.504943187224992
income,1,89,matern52_0.8h0,matern52,1.7472628598278925,0.8,139152.72803077925,6.700639606658009
income,1,89,matern52_h0,matern52,2.1840785747848654,1.0,157784.43640618422,6.416860337458489
income,1,89,matern52_1.2h0,matern52,2.6208942897418384,1.2,168829.74064519783,6.193774817047353
income,1,89,gaussian_ess_matched,gaussian,2.069479027516257,0.9475295675752432,157784.43640618422,6.4858283162544375
income,1,90,matern52_0.8h0,matern52,1.7822081170244504,0.8,140008.73356508883,6.682100285045718
income,1,90,matern52_h0,matern52,2.2277601462805627,1.0,158469.0921648563,6.399565768644427
income,1,90,matern52_1.2h0,matern52,2.673312175536675,1.2,169327.6436215708,6.178683117308365
income,1,90,gaussian_ess_matched,gaussian,2.1102370981966714,0.9472460945671795,158469.09216485632,6.467226432266385
income,1,91,matern52_0.8h0,matern52,1.8171533742210082,0.8,140857.91328038758,6.664032355150796
income,1,91,matern52_h0,matern52,2.27144171777626,1.0,159137.80365666075,6.3827777168034565
income,1,91,matern52_1.2h0,matern52,2.725730061331512,1.2,169809.4176137077,6.1640745642294705
income,1,91,gaussian_ess_matched,gaussian,2.1510502498805417,0.9469977737251469,159137.80365666075,6.44911995291259
income,1,92,matern52_0.8h0,matern52,1.852098631417566,0.8,141699.30424920164,6.646414814952517
income,1,92,matern52_h0,matern52,2.3151232892719573,1.0,159790.60335017616,6.366473916996396
income,1,92,matern52_1.2h0,matern52,2.7781479471263486,1.2,170275.5410877541,6.149926607001687
income,1,92,gaussian_ess_matched,gaussian,2.191915881772646,0.9467814919100672,159790.60335017616,6.431492164374083
income,1,93,matern52_0.8h0,matern52,1.8870438886141239,0.8,142532.02174124992,6.62922822136733
income,1,93,matern52_h0,matern52,2.3588048607676546,1.0,160427.56232166014,6.350633471838761
income,1,93,matern52_1.2h0,matern52,2.8305658329211854,1.2,170726.48862668165,6.136218083690469
income,1,93,gaussian_ess_matched,gaussian,2.232831359874881,0.946594352509611,160427.56232166017,6.414327124773768
income,1,94,matern52_0.8h0,matern52,1.9219891458106817,0.8,143355.26123135997,6.61245454300112
income,1,94,matern52_h0,matern52,2.402486432263352,1.0,161048.7877864762,6.335236742370897
income,1,94,matern52_1.2h0,matern52,2.882983718716022,1.2,171162.7301263132,6.122929114828953
income,1,94,gaussian_ess_matched,gaussian,2.2737940478600414,0.9464336686047083,161048.78778647626,6.397609588115548
income,1,95,matern52_0.8h0,matern52,1.9569344030072395,0.8,144168.2981358818,6.596077022146399
income,1,95,matern52_h0,matern52,2.446168003759049,1.0,161654.42012881328,6.320265248160407
income,1,95,matern52_1.2h0,matern52,2.935401604510859,1.2,171584.72988672843,6.110041006379178
income,1,95,gaussian_ess_matched,gaussian,2.314801328138263,0.9462969528589558,161654.42012881333,6.381324944351876
income,1,96,matern52_0.8h0,matern52,1.9918796602037974,0.8,144970.48672356797,6.580080053628551
income,1,96,matern52_h0,matern52,2.4898495752547465,1.0,162244.62983964075,6.305701577498618
income,1,96,matern52_1.2h0,matern52,2.9878194903056956,1.2,171992.9457310843,6.0975361616129256
income,1,96,gaussian_ess_matched,gaussian,2.355850620836618,0.9461819076341516,162244.62983964078,6.365459167811081
income,1,97,matern52_0.8h0,matern52,2.026824917400355,0.8,145761.2595195875,6.564449085653493
income,1,97,matern52_h0,matern52,2.5335311467504438,1.0,162819.61470215072,6.291529308079699
income,1,97,matern52_1.2h0,matern52,3.0402373761005324,1.2,172387.82825318942,6.085398001407976
income,1,97,gaussian_ess_matched,gaussian,2.396939409095376,0.9460864186215895,162819.61470215072,6.349998767145806
income,1,98,matern52_0.8h0,matern52,2.061770174596913,0.8,146540.12581067684,6.549170528898805
income,1,98,matern52_h0,matern52,2.577212718246141,1.0,163379.59693633573,6.277732934543818
income,1,98,matern52_1.2h0,matern52,3.092655261895369,1.2,172769.82011027695,6.073610891361607
income,1,98,gaussian_ess_matched,gaussian,2.438065261350389,0.9460085479515848,163379.5969363358,6.334930742951745
income,1,99,matern52_0.8h0,matern52,2.096715431793471,0.8,147306.6688178908,6.5342316696018505
income,1,99,matern52_h0,matern52,2.6208942897418384,1.0,163924.82023769114,6.264297801445149
income,1,99,matern52_1.2h0,matern52,3.145073147690206,1.2,173139.35534205093,6.0621600748267905
income,1,99,gaussian_ess_matched,gaussian,2.479225846554418,0.9459465252979071,163924.82023769116,6.320242554591844
income,1,100,matern52_0.8h0,matern52,2.1316606889900287,0.8,148060.54192850468,6.519620588412416
income,1,100,matern52_h0,matern52,2.6645758612375356,1.0,164455.54681959123,6.25121004157201
