dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
income,1,70,matern52_0.8h0,matern52,1.0833029730932935,0.8,122870.75821224303,7.188573395937842
income,1,70,matern52_h0,matern52,1.3541287163666167,1.0,141847.48767048374,6.886993353152678
income,1,70,matern52_1.2h0,matern52,1.62495445963994,1.2,155570.1482602345,6.618107050477001
income,1,70,gaussian_ess_matched,gaussian,1.3063915254638891,0.9647469326026735,141847.48767048377,6.967905707545881
income,1,80,matern52_0.8h0,matern52,1.432755545058872,0.8,131327.06882351555,6.893165066369206
income,1,80,matern52_h0,matern52,1.7909444313235898,1.0,150918.87000924035,6.599831460900203
income,1,80,matern52_1.2h0,matern52,2.1491333175883076,1.2,163541.93475592724,6.355923559158584
income,1,80,gaussian_ess_matched,gaussian,1.705477001323852,0.9522780112521004,150918.87000924035,6.678847012855874
income,1,90,matern52_0.8h0,matern52,1.7822081170244504,0.8,140008.73356508883,6.682100285045718
income,1,90,matern52_h0,matern52,2.2277601462805627,1.0,158469.0921648563,6.399565768644427
income,1,90,matern52_1.2h0,matern52,2.673312175536675,1.2,169327.6436215708,6.178683117308365
income,1,90,gaussian_ess_matched,gaussian,2.1102370981966714,0.9472460945671795,158469.09216485632,6.467226432266385
income,1,100,matern52_0.8h0,matern52,2.1316606889900287,0.8,148060.54192850468,6.519620588412416
income,1,100,matern52_h0,matern52,2.6645758612375356,1.0,164455.54681959123,6.25121004157201
income,1,100,matern52_1.2h0,matern52,3.1974910334850426,1.2,173496.85874485012,6.051031611429182
income,1,100,gaussian_ess_matched,gaussian,2.5204189437382425,0.9458987377329385,164455.54681959125,6.305922093970513
income,2,70,matern52_0.8h0,matern52,0.9488793804842532,0.8,121559.3638180903,4.304554337927573
income,2,70,matern52_h0,matern52,1.1860992256053164,1.0,140189.86420850482,4.200841915640371
income,2,70,matern52_1.2h0,matern52,1.4233190707263796,1.2,154444.65925256303,4.087704048715876
income,2,70,gaussian_ess_matched,gaussian,1.1562460003914232,0.9748307522933776,140189.86420850482,4.261203383329085
income,2,80,matern52_0.8h0,matern52,1.2877648735143437,0.8,130416.30581723845,4.141012257759843
income,2,80,matern52_h0,matern52,1.6097060918929296,1.0,150456.9785722679,4.034632708558937
income,2,80,matern52_1.2h0,matern52,1.9316473102715155,1.2,164097.36734485708,3.9282583426574877
income,2,80,gaussian_ess_matched,gaussian,1.5453664868900145,0.9600302158717341,150456.97857226795,4.094181902971496
income,2,90,matern52_0.8h0,matern52,1.6266503665444345,0.8,139342.32246235615,4.036738055635826
income,2,90,matern52_h0,matern52,2.033312958180543,1.0,158976.08989908893,3.926217313455636
income,2,90,matern52_1.2h0,matern52,2.4399755498166513,1.2,171045.24934354154,3.826270645726953
income,2,90,gaussian_ess_matched,gaussian,1.9370428825791208,0.9526535867417247,158976.08989908893,3.9775071028030196
income,2,100,matern52_0.8h0,matern52,1.965535859574525,0.8,148031.00562368907,3.9598460176532657
income,2,100,matern52_h0,matern52,2.456919824468156,1.0,165885.20719133315,3.8480696065003497
income,2,100,matern52_1.2h0,matern52,2.948303789361787,1.2,176079.1874808766,3.7548284536796297
income,2,100,gaussian_ess_matched,gaussian,2.334238736256026,0.9500671177828578,165885.2071913332,3.889581612763134
