sex,age,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
1,70,GH_P1_c22,income,matern52_0.8h0,PPCI,300,0.8933333333333333,-0.25419076821788567,0.25419076821788567,0.6242019936717946,2.3495554427586653,7.188573395937842,6.934382627719957,15,0.012786401506759566
1,70,LO_GH_P1_c22w,income,matern52_0.8h0,LO,300,0.92,-0.2243275548114096,0.2243275548114096,0.6986186228569509,2.6653805401537576,7.188573395937842,6.9642458411264325,15,0.01175139302786006
1,70,PPI_global,income,matern52_0.8h0,PPI,300,0.023333333333333334,-1.8788252623830977,1.8788252623830977,1.9186513746628162,1.625560239635777,7.188573395937842,5.309748133554745,15,0.008261595987094035
1,80,GH_P1_c22,income,matern52_0.8h0,PPCI,300,0.9233333333333333,-0.12613954367472346,0.12613954367472346,0.5935422123348397,2.302265452112404,6.893165066369206,6.767025522694483,15,0.015327120894696266
1,80,LO_GH_P1_c22w,income,matern52_0.8h0,LO,300,0.9266666666666666,-0.12824731887799026,0.12824731887799026,0.6873900541041567,2.6174832569424233,6.893165066369206,6.764917747491216,15,0.015327120894696268
1,80,PPI_global,income,matern52_0.8h0,PPI,300,0.08,-1.6269651557965508,1.6269651557965508,1.6775535287985863,1.6289184781141366,6.893165066369206,5.266199910572655,15,0.012724180205607035
1,90,GH_P1_c22,income,matern52_0.8h0,PPCI,300,0.91,-0.022960664066529322,0.022960664066529322,0.6059744092586012,2.239141895519287,6.682100285045718,6.659139620979189,15,0.01963961012123931
1,90,LO_GH_P1_c22w,income,matern52_0.8h0,LO,300,0.9166666666666666,-0.05046265920122274,0.05046265920122274,0.689760111853232,2.54715692613532,6.682100285045718,6.631637625844495,15,0.015936381457791915
1,90,PPI_global,income,matern52_0.8h0,PPI,300,0.15,-1.3811334309360377,1.3811334309360377,1.4479045284260177,1.6279362804707516,6.682100285045718,5.300966854109681,15,0.02011869540407391
1,100,GH_P1_c22,income,matern52_0.8h0,PPCI,300,0.96,0.16243026491625637,0.16243026491625637,0.6074393025925433,2.23908034082387,6.519620588412416,6.682050853328673,15,0.012149857925879118
1,100,LO_GH_P1_c22w,income,matern52_0.8h0,LO,300,0.95,0.14658919200573808,0.14658919200573808,0.6568927629918415,2.537797962792325,6.519620588412416,6.666209780418154,15,0.01091089451179962
1,100,PPI_global,income,matern52_0.8h0,PPI,300,0.24666666666666667,-1.2078483638243311,1.2078483638243311,1.277098751392707,1.6184363812278608,6.519620588412416,5.311772224588085,15,0.02413585885233178
2,70,GH_P1_c15,income,matern52_0.8h0,PPCI,300,0.8966666666666666,-0.05368475325710688,0.05368475325710688,0.38927218023986554,1.5064926832497818,4.304554337927573,4.2508695846704665,15,0.01578627090881026
2,70,LO_GH_P1_c15w,income,matern52_0.8h0,LO,300,0.9133333333333333,-0.055647154046246865,0.055647154046246865,0.4355212885339833,1.697009588406035,4.304554337927573,4.248907183881326,15,0.01578627090881026
2,70,PPI_global,income,matern52_0.8h0,PPI,300,0.13,-0.965775490950833,0.965775490950833,0.9990682257571101,1.0609694273278414,4.304554337927573,3.3387788469767394,15,0.021712405933672376
2,80,GH_P1_c15,income,matern52_0.8h0,PPCI,300,0.9533333333333334,0.0827196758796486,0.0827196758796486,0.40962315110712966,1.5344689611479403,4.141012257759843,4.223731933639491,15,0.009085135251589957
