setting,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,A_score_mean_mean,M2_lambda_min_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
base_q0.9_s1,GH_P1_c0.06,2100,1.0,1.0,0.02,1.1957380952380952,4668.329523809523,0.0542828622048734,0.0821053346946702,0.25,0.7956106993058057,6835.196372666486,-0.00680903049314,1.0,1.0017005748411598,5.4203619958332645,2.716242285134126,1.9796446005664945
base_q0.9_s1,GH_P1_c0.08,2100,0.9438095238095238,1.0,0.02,1.197642857142857,4670.719047619048,0.0545632386741822,0.0821083362545548,0.25,0.7957363525804927,6861.071911554362,-0.0067988213103076,1.0,1.0017073251327149,5.412220751629082,2.7078433408572504,1.9734708303274124
base_q0.9_s1,GH_P1_c0.1,2100,0.0,1.0,0.0257299929329083,1.1999999999999995,4673.418095238095,0.0701332841479879,0.0931646388236316,0.25,0.7958818295136586,8427.002727112533,-0.0064572233929322,1.0835053540598134,1.002324398687742,5.158958924432161,2.475943449826075,1.7968197351599984
base_q0.9_s1,GH_P1_c0.12,2100,0.0,1.0,0.038590385372796,1.1999999999999995,4673.418095238095,0.1055845957034526,0.1145027237571256,0.25,0.7958818295136586,11747.81927592144,-0.0070558035651317,1.2323432527109568,1.0034515802546518,4.78401304536812,2.154325438824251,1.5548128582149674
base_q0.9_s1,GH_P1_c0.14,2100,0.0,1.0,0.0514655709724547,1.1999999999999995,4673.418095238095,0.1402609134421119,0.1330145842588397,0.25,0.7958818295136586,14614.368836731692,-0.0081618071067002,1.3508752995644508,1.0043451991485437,4.521868393851896,1.944629007742064,1.3949360270152682
base_q0.9_s1,GH_P1_c0.06,2100,1.0,1.0,0.02,1.1635714285714285,4628.511190476191,0.0739028722275208,0.0818530441164456,0.25,0.8227930964307426,8194.939135655884,-0.0040211476727543,0.9999830848221152,1.0028779092993865,5.444922847940052,2.6886583291333985,2.009303438281004
base_q0.9_s1,GH_P1_c0.08,2100,0.9328571428571428,1.0,0.02,1.169880952380952,4637.314047619047,0.0749349260800775,0.0818659888844876,0.25,0.8232135426223777,8226.482291770275,-0.0039744717241886,0.9999830848221152,1.0028990998991096,5.416802017862699,2.6594586658621258,1.987684988751676
base_q0.9_s1,GH_P1_c0.1,2100,0.0,1.0,0.0258748501623605,1.1999642857142854,4678.059761904762,0.100710371554226,0.0933057647393939,0.25,0.8251288478966965,9304.509244765908,-0.0035305672478713,1.0854701714922916,1.0036185370381143,5.032844030755646,2.3145564947334405,1.7129054598648612
base_q0.9_s1,GH_P1_c0.12,2100,0.0,1.0,0.0387485328550011,1.1999523809523809,4678.049761904762,0.1397757913707702,0.1143826098455396,0.25,0.8251282001735787,11681.770564714509,-0.0036045944265777,1.234074924631393,1.0046793722603549,4.671802217090335,2.0170642220750183,1.4835669157234912
base_q0.9_s1,GH_P1_c0.14,2100,0.0,1.0,0.0523450044996897,1.1999999999999995,4678.090952380952,0.1738302736036766,0.1330654382878013,0.25,0.8251307220650387,13878.60388600783,-0.0037874774924002,1.3585661774390787,1.005471130694248,4.415633977936149,1.8157602269955693,1.3271312297973634
base_q0.9_s1,GH_P1_c0.06,2050,1.0,1.0,0.02,1.1721463414634146,4644.176829268293,0.0987765942917663,0.0807877066251325,0.25,0.8479683307653185,7465.334038742439,-0.0014816125558245,0.999965782341894,1.0037163408242322,5.347269835280899,2.4891693298734845,1.923988719187111
base_q0.9_s1,GH_P1_c0.08,2050,0.8121951219512196,1.0,0.0200958454646291,1.1773170731707314,4651.594878048781,0.0997266947926731,0.0809165503490927,0.25,0.848297412557372,7445.100412875163,-0.0014067257923433,1.00153292236011,1.003728108106537,5.321856341820426,2.462652024586447,1.9043127263722848
base_q0.9_s1,GH_P1_c0.1,2050,0.0,1.0,0.0277159998951035,1.1999878048780486,4685.096341463414,0.1249161517671838,0.0938103308345628,0.25,0.8497356220522715,7448.001384575696,-0.0002497630031512,1.1105351636079357,1.004308124732332,4.950083714555686,2.123356416659499,1.6319133354716593
base_q0.9_s1,GH_P1_c0.12,2050,0.0,1.0,0.0422725677319218,1.1999999999999995,4685.106829268293,0.1572264773143062,0.1143166480200923,0.25,0.849736235793811,7934.70671441017,0.0007682221567165,1.2746236213329976,1.0050290153292154,4.616393043460682,1.838660244294023,1.4097314954077809
base_q0.9_s1,GH_P1_c0.14,2050,0.0,1.0,0.058773273183973,1.1999999999999995,4685.106829268293,0.1812232678978842,0.1324542945377159,0.25,0.849736235793811,7790.094733266819,0.0014175935292031,1.4203329687475428,1.0053994803466724,4.3887392058239545,1.6468087421701962,1.263422231088164
