setting,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,A_score_mean_mean,M2_lambda_min_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
base_q0.9_s1,LO,1000,0.0,1.0,,,4673.524,0.0571716592757979,0.0942575750698602,0.25,0.7938139168939532,5284.062625347368,-0.0084469776934444,1.114992354740701,1.000823176631316,5.842071425397221,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0282142535846068,1.1999999999999995,4673.524,0.0571716592757979,0.0942575750698602,0.25,0.7938139168939532,5284.062625347368,-0.0084469776934444,1.114992354740701,1.000823176631316,5.842071425397221,3.1384986901930843,1.1566025240180164
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4676.178,0.0648126289454555,0.0941893429863702,0.25,0.8148541761348304,6538.560271016909,-0.0051612045138562,1.1194407998333211,1.0016089457638526,5.754528446870785,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.028519324571698,1.19995,4676.178,0.0648126289454555,0.0941893429863702,0.25,0.8148541761348304,6538.560271016909,-0.0051612045138562,1.1194407998333211,1.0016089457638526,5.754528446870785,2.984307278379395,1.118033372244133
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4679.377,0.0828135000992121,0.0939699002816562,0.25,0.8293385964549229,6652.69563136497,-0.0034942904848218,1.1150579881377063,1.0022787671842994,5.683086817663142,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0281866671821509,1.1997249999999997,4679.377,0.0828135000992121,0.0939699002816562,0.25,0.8293385964549229,6652.69563136497,-0.0034942904848218,1.1150579881377063,1.0022787671842994,5.683086817663142,2.887427749041956,1.0942550586790163
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4682.1605,0.1026709467551737,0.0945761052568329,0.25,0.8424980749794914,7671.760972754547,-0.0034728783886575,1.1267493893406344,1.0027348775600693,5.619045400356614,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0290636730273205,1.1999249999999997,4682.1605,0.1026709467551737,0.0945761052568329,0.25,0.8424980749794914,7671.760972754547,-0.0034728783886575,1.1267493893406344,1.0027348775600693,5.619045400356614,2.76150522619753,1.063926006325887
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,300,0.0,1.0,,,4690.095,0.129598167418398,0.0948485987453314,0.25,0.8635454004243347,4975.245238748475,6.457689763878879e-05,1.132094557697734,1.0035372875799795,5.525019538705648,,
base_q0.9_s1,PPCI,300,0.0,1.0,0.0294799485877993,1.2,4690.095,0.129598167418398,0.0948485987453314,0.25,0.8635454004243347,4975.245238748475,6.457689763878879e-05,1.132094557697734,1.0035372875799795,5.525019538705648,2.5707221189911897,1.0272376701642685
base_q0.9_s1,PPI,300,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4673.2895,0.0549358512781352,0.0942136047056918,0.25,0.7923750142802324,4999.593619025405,-0.008550540396081,1.1138736954798418,1.000746693600178,5.848911276847636,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.028133609368959,1.1999999999999995,4673.2895,0.0549358512781352,0.0942136047056918,0.25,0.7923750142802324,4999.593619025405,-0.008550540396081,1.1138736954798418,1.000746693600178,5.848911276847636,3.15277910207835,1.1597613102241655
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4677.095,0.0688741327166299,0.0944763172563789,0.25,0.8181402995885391,7025.139308546102,-0.0047965353558105,1.1235718197600375,1.0017625613012784,5.726388320873325,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0288284607316811,1.1999999999999995,4677.095,0.0688741327166299,0.0944763172563789,0.25,0.8181402995885391,7025.139308546102,-0.0047965353558105,1.1235718197600375,1.0017625613012784,5.726388320873325,2.9475513885554228,1.105694527988133
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4679.603,0.0833077325868367,0.0941164042349369,0.25,0.8300651175011007,6464.525124203525,-0.0035037802107864,1.1166178192668563,1.0023007764114948,5.6762672420592,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0283076335056225,1.19965,4679.603,0.0833077325868367,0.0941164042349369,0.25,0.8300651175011007,6464.525124203525,-0.0035037802107864,1.1166178192668563,1.0023007764114948,5.6762672420592,2.877217840016375,1.0913175601688485
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4681.562,0.0999663439456547,0.0942557897321318,0.25,0.8405594448092059,7672.891815144149,-0.0033358045174137,1.1229170135522315,1.0026485937903409,5.63443004201252,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0287724385028712,1.1998999999999995,4681.562,0.0999663439456547,0.0942557897321318,0.25,0.8405594448092059,7672.891815144149,-0.0033358045174137,1.1229170135522315,1.0026485937903409,5.63443004201252,2.78587361539373,1.0711751147237027
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,300,0.0,1.0,,,4690.093333333333,0.1299078634882907,0.0948760255928819,0.25,0.8635071093732988,5135.691975485169,-0.0002477424743777,1.1366719274588866,1.0034919919875736,5.5171179021776,,
base_q0.9_s1,PPCI,300,0.0,1.0,0.0298173566242565,1.2,4690.093333333333,0.1299078634882907,0.0948760255928819,0.25,0.8635071093732988,5135.691975485169,-0.0002477424743777,1.1366719274588866,1.0034919919875736,5.5171179021776,2.560474473763509,1.02068864289929
base_q0.9_s1,PPI,300,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4673.0215,0.0548845518305646,0.0943069764142234,0.25,0.7942413598404328,4916.239915233157,-0.0082863411619572,1.1162767878175068,1.000788811635628,5.838264696552024,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0283109936812745,1.1999749999999998,4673.0215,0.0548845518305646,0.0943069764142234,0.25,0.7942413598404328,4916.239915233157,-0.0082863411619572,1.1162767878175068,1.000788811635628,5.838264696552024,3.1363480676123903,1.1535782211890104
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4677.1075,0.0678249376969658,0.0942539625559371,0.25,0.8154763633669995,6696.57659897438,-0.0049931349066473,1.120140023509413,1.0016718615673177,5.745179061971409,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.028570619393063,1.1999999999999995,4677.1075,0.0678249376969658,0.0942539625559371,0.25,0.8154763633669995,6696.57659897438,-0.0049931349066473,1.120140023509413,1.0016718615673177,5.745179061971409,2.973463484258613,1.114876200511057
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,1000,0.0,1.0,,,4679.6835,0.0840067072123296,0.0941208506293534,0.25,0.8315289857660321,6945.329794986704,-0.0034922877854791,1.1175781253203982,1.0023541425110951,5.674370605669315,,
base_q0.9_s1,PPCI,1000,0.0,1.0,0.0283748370186623,1.1997749999999996,4679.6835,0.0840067072123296,0.0941208506293534,0.25,0.8315289857660321,6945.329794986704,-0.0034922877854791,1.1175781253203982,1.0023541425110951,5.674370605669315,2.865814311741182,1.0896371380849272
base_q0.9_s1,PPI,1000,0.0,0.0,,,,,,,,,,,,,,
